"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"1016860","Struthio camelus","Common Ostrich","Struthionidae (Ostriches)","LC"
"31769","Struthio molybdophanes","Somali Ostrich","Struthionidae (Ostriches)","VU"
"17","Nothocercus julius","Tawny-breasted Tinamou","Tinamidae (Tinamous)","LC"
"16","Nothocercus bonapartei","Highland Tinamou","Tinamidae (Tinamous)","LC"
"11","Tinamus tao","Grey Tinamou","Tinamidae (Tinamous)","VU"
"12","Tinamus solitarius","Solitary Tinamou","Tinamidae (Tinamous)","NT"
"14","Tinamus major","Great Tinamou","Tinamidae (Tinamous)","NT"
"15","Tinamus guttatus","White-throated Tinamou","Tinamidae (Tinamous)","NT"
"19","Crypturellus berlepschi","Berlepsch's Tinamou","Tinamidae (Tinamous)","LC"
"20","Crypturellus cinereus","Cinereous Tinamou","Tinamidae (Tinamous)","LC"
"21","Crypturellus soui","Little Tinamou","Tinamidae (Tinamous)","LC"
"23","Crypturellus obsoletus","Brown Tinamou","Tinamidae (Tinamous)","LC"
"25","Crypturellus undulatus","Undulated Tinamou","Tinamidae (Tinamous)","LC"
"31001","Crypturellus erythropus","Red-legged Tinamou","Tinamidae (Tinamous)","LC"
"35","Crypturellus atrocapillus","Black-capped Tinamou","Tinamidae (Tinamous)","LC"
"1016978","Crypturellus occidentalis","Western Thicket Tinamou","Tinamidae (Tinamous)","LC"
"1016977","Crypturellus cinnamomeus","Eastern Thicket Tinamou","Tinamidae (Tinamous)","LC"
"26","Crypturellus transfasciatus","Pale-browed Tinamou","Tinamidae (Tinamous)","NT"
"28","Crypturellus boucardi","Slaty-breasted Tinamou","Tinamidae (Tinamous)","LC"
"39","Crypturellus parvirostris","Small-billed Tinamou","Tinamidae (Tinamous)","LC"
"32199","Rhynchotus rufescens","Red-winged Tinamou","Tinamidae (Tinamous)","LC"
"31983","Rhynchotus maculicollis","Huayco Tinamou","Tinamidae (Tinamous)","LC"
"43","Nothoprocta taczanowskii","Taczanowski's Tinamou","Tinamidae (Tinamous)","VU"
"45","Nothoprocta ornata","Ornate Tinamou","Tinamidae (Tinamous)","LC"
"48","Nothoprocta perdicaria","Chilean Tinamou","Tinamidae (Tinamous)","LC"
