"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"2444","Columba livia","Rock Dove","Columbidae (Pigeons, Doves)","LC"
"2445","Columba rupestris","Hill Pigeon","Columbidae (Pigeons, Doves)","LC"
"2446","Columba leuconota","Snow Pigeon","Columbidae (Pigeons, Doves)","LC"
"2448","Columba albitorques","White-collared Pigeon","Columbidae (Pigeons, Doves)","LC"
"2449","Columba oenas","Stock Dove","Columbidae (Pigeons, Doves)","LC"
"2451","Columba eversmanni","Yellow-eyed Pigeon","Columbidae (Pigeons, Doves)","VU"
"2450","Columba oliviae","Somali Pigeon","Columbidae (Pigeons, Doves)","DD"
"2453","Columba trocaz","Madeira Laurel-pigeon","Columbidae (Pigeons, Doves)","LC"
"2454","Columba bollii","Dark-tailed Laurel-pigeon","Columbidae (Pigeons, Doves)","LC"
"2455","Columba junoniae","White-tailed Laurel-pigeon","Columbidae (Pigeons, Doves)","NT"
"2545","Petrophassa albipennis","White-quilled Rock-pigeon","Columbidae (Pigeons, Doves)","LC"
"2347","Steatornis caripensis","Oilbird","Steatornithidae (Oilbird)","LC"
"2378","Antrostomus carolinensis","Chuck-will's-widow","Caprimulgidae (Nightjars)","NT"
"1708","Collocalia linchi","Cave Swiftlet","Apodidae (Swifts)","LC"
"1707","Collocalia esculenta","Glossy Swiftlet","Apodidae (Swifts)","LC"
"1714","Aerodramus infuscatus","Moluccan Swiftlet","Apodidae (Swifts)","LC"
"1715","Aerodramus hirundinaceus","Mountain Swiftlet","Apodidae (Swifts)","LC"
"1717","Aerodramus terraereginae","Australian Swiftlet","Apodidae (Swifts)","LC"
"1016955","Aerodramus brevirostris","Himalayan Swiftlet","Apodidae (Swifts)","LC"
"1733","Aerodramus maximus","Black-nest Swiftlet","Apodidae (Swifts)","LC"
"1016956","Aerodramus vanikorensis","Uniform Swiftlet","Apodidae (Swifts)","LC"
"1730","Aerodramus sawtelli","Atiu Swiftlet","Apodidae (Swifts)","VU"
"1016957","Aerodramus leucophaeus","Polynesian Swiftlet","Apodidae (Swifts)","LC"
"1729","Aerodramus inquietus","Caroline Swiftlet","Apodidae (Swifts)","LC"
"1728","Aerodramus pelewensis","Palau Swiftlet","Apodidae (Swifts)","LC"
"30057","Aerodramus bartschi","Mariana Swiftlet","Apodidae (Swifts)","EN"
"1713","Aerodramus mearnsi","Philippine Swiftlet","Apodidae (Swifts)","LC"
"1716","Aerodramus spodiopygius","White-rumped Swiftlet","Apodidae (Swifts)","LC"
"1712","Aerodramus unicolor","Indian Swiftlet","Apodidae (Swifts)","LC"
"1711","Aerodramus francicus","Mascarene Swiftlet","Apodidae (Swifts)","NT"
"1710","Aerodramus elaphrus","Seychelles Swiftlet","Apodidae (Swifts)","VU"
"1016958","Aerodramus fuciphagus","Edible-nest Swiftlet","Apodidae (Swifts)","LC"
"1724","Aerodramus salangana","Mossy-nest Swiftlet","Apodidae (Swifts)","LC"
"112637","Apus horus","Horus Swift","Apodidae (Swifts)","LC"
"1782","Apus berliozi","Forbes-Watson's Swift","Apodidae (Swifts)","LC"
"1018383","Pachyptila salvini","Salvin's Prion","Procellariidae (Petrels, Shearwaters)","LC"
"1018384","Pachyptila macgillivrayi","MacGillivray's Prion","Procellariidae (Petrels, Shearwaters)","EN"
"1016863","Calonectris diomedea","Scopoli's Shearwater","Procellariidae (Petrels, Shearwaters)","LC"
"31633","Calonectris borealis","Cory's Shearwater","Procellariidae (Petrels, Shearwaters)","LC"
"3940","Puffinus opisthomelas","Black-vented Shearwater","Procellariidae (Petrels, Shearwaters)","NT"
"3791","Geronticus eremita","Northern Bald Ibis","Threskiornithidae (Ibises, Spoonbills)","EN"
"30130","Urile pelagicus","Pelagic Cormorant","Phalacrocoracidae (Cormorants)","LC"
"2155","Tyto alba","Common Barn-owl","Tytonidae (Barn-owls)","LC"
"2215","Bubo bubo","Eurasian Eagle-owl","Strigidae (Typical Owls)","LC"
"2216","Bubo bengalensis","Rock Eagle-owl","Strigidae (Typical Owls)","LC"
"1186","Colius striatus","Speckled Mousebird","Coliidae (Mousebirds)","LC"
"6623","Xenocopsychus ansorgei","Angola Cave-chat","Muscicapidae (Chats and Old World flycatchers)","LC"
