"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"308","Numida meleagris","Helmeted Guineafowl","Numididae (Guineafowl)","LC"
"319","Callipepla gambelii","Gambel's Quail","Odontophoridae (New World quails)","LC"
"318","Callipepla californica","California Quail","Odontophoridae (New World quails)","LC"
"130","Ammoperdix griseogularis","See-see Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"131","Ammoperdix heyi","Sand Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"2447","Columba guinea","Speckled Pigeon","Columbidae (Pigeons, Doves)","LC"
"2451","Columba eversmanni","Yellow-eyed Pigeon","Columbidae (Pigeons, Doves)","VU"
"2450","Columba oliviae","Somali Pigeon","Columbidae (Pigeons, Doves)","DD"
"2510","Streptopelia roseogrisea","African Collared-dove","Columbidae (Pigeons, Doves)","LC"
"2487","Patagioenas inornata","Plain Pigeon","Columbidae (Pigeons, Doves)","NT"
"32202","Zenaida asiatica","White-winged Dove","Columbidae (Pigeons, Doves)","LC"
"2546","Petrophassa rufipennis","Chestnut-quilled Rock-pigeon","Columbidae (Pigeons, Doves)","LC"
"2538","Phaps chalcoptera","Common Bronzewing","Columbidae (Pigeons, Doves)","LC"
"2547","Geopelia cuneata","Diamond Dove","Columbidae (Pigeons, Doves)","LC"
"2528","Turtur abyssinicus","Black-billed Wood-dove","Columbidae (Pigeons, Doves)","LC"
"2958","Syrrhaptes paradoxus","Pallas's Sandgrouse","Pteroclidae (Sandgrouse)","LC"
"2957","Syrrhaptes tibetanus","Tibetan Sandgrouse","Pteroclidae (Sandgrouse)","LC"
"2964","Pterocles orientalis","Black-bellied Sandgrouse","Pteroclidae (Sandgrouse)","LC"
"2960","Pterocles namaqua","Namaqua Sandgrouse","Pteroclidae (Sandgrouse)","LC"
"2961","Pterocles exustus","Chestnut-bellied Sandgrouse","Pteroclidae (Sandgrouse)","LC"
"2962","Pterocles senegallus","Spotted Sandgrouse","Pteroclidae (Sandgrouse)","LC"
"2963","Pterocles gutturalis","Yellow-throated Sandgrouse","Pteroclidae (Sandgrouse)","LC"
"2965","Pterocles coronatus","Crowned Sandgrouse","Pteroclidae (Sandgrouse)","LC"
"2959","Pterocles alchata","Pin-tailed Sandgrouse","Pteroclidae (Sandgrouse)","LC"
"2967","Pterocles decoratus","Black-faced Sandgrouse","Pteroclidae (Sandgrouse)","LC"
"2971","Pterocles lichtensteinii","Lichtenstein's Sandgrouse","Pteroclidae (Sandgrouse)","LC"
"2372","Phalaenoptilus nuttallii","Common Poorwill","Caprimulgidae (Nightjars)","LC"
"2404","Caprimulgus aegyptius","Egyptian Nightjar","Caprimulgidae (Nightjars)","LC"
"2406","Caprimulgus centralasicus","Vaurie's Nightjar","Caprimulgidae (Nightjars)","DD"
"2408","Caprimulgus eximius","Golden Nightjar","Caprimulgidae (Nightjars)","LC"
"2423","Caprimulgus stellatus","Star-spotted Nightjar","Caprimulgidae (Nightjars)","LC"
"112637","Apus horus","Horus Swift","Apodidae (Swifts)","LC"
"1783","Apus bradfieldi","Bradfield's Swift","Apodidae (Swifts)","LC"
"1776","Apus apus","Common Swift","Apodidae (Swifts)","LC"
"1016495","Cynanthus latirostris","Broad-billed Hummingbird","Trochilidae (Hummingbirds)","LC"
"1956","Amazilia amazilia","Amazilia Hummingbird","Trochilidae (Hummingbirds)","LC"
"2107","Eulidia yarrellii","Chilean Woodstar","Trochilidae (Hummingbirds)","CR"
"2098","Calypte costae","Costa's Hummingbird","Trochilidae (Hummingbirds)","LC"
"1328","Geococcyx californianus","Greater Roadrunner","Cuculidae (Cuckoos)","LC"
"1228","Chalcites basalis","Horsfield's Bronze-cuckoo","Cuculidae (Cuckoos)","LC"
"1237","Chrysococcyx caprius","Diederik Cuckoo","Cuculidae (Cuckoos)","LC"
"2791","Anthropoides virgo","Demoiselle Crane","Gruidae (Cranes)","LC"
"1016854","Chlamydotis undulata","African Houbara","Otididae (Bustards)","VU"
"32131","Chlamydotis macqueenii","Asian Houbara","Otididae (Bustards)","VU"
"2762","Neotis ludwigii","Ludwig's Bustard","Otididae (Bustards)","EN"
"2764","Neotis heuglinii","Heuglin's Bustard","Otididae (Bustards)","LC"
"2766","Ardeotis kori","Kori Bustard","Otididae (Bustards)","NT"
"2775","Heterotetrax rueppelii","Rüppell's Bustard","Otididae (Bustards)","LC"
"2773","Afrotis afraoides","Northern Black Bustard","Otididae (Bustards)","LC"
"2778","Eupodotis senegalensis","White-bellied Bustard","Otididae (Bustards)","LC"
"3862","Spheniscus humboldti","Humboldt Penguin","Spheniscidae (Penguins)","VU"
"3984","Hydrobates markhami","Markham's Storm-petrel","Hydrobatidae (Northern Storm-petrels)","NT"
"3988","Hydrobates hornbyi","Ringed Storm-petrel","Hydrobatidae (Northern Storm-petrels)","NT"
"3082","Burhinus capensis","Spotted Thick-knee","Burhinidae (Thick-knees)","LC"
"1016711","Charadrius alexandrinus","Kentish Plover","Charadriidae (Plovers)","LC"
"32543","Charadrius dealbatus","White-faced Plover","Charadriidae (Plovers)","DD"
"112659","Charadrius nivosus","Snowy Plover","Charadriidae (Plovers)","NT"
"3139","Charadrius leschenaultii","Greater Sandplover","Charadriidae (Plovers)","LC"
"3140","Charadrius asiaticus","Caspian Plover","Charadriidae (Plovers)","LC"
"3141","Charadrius veredus","Oriental Plover","Charadriidae (Plovers)","LC"
"3162","Vanellus tectus","Black-headed Lapwing","Charadriidae (Plovers)","LC"
"3170","Vanellus coronatus","Crowned Lapwing","Charadriidae (Plovers)","LC"
"3172","Vanellus gregarius","Sociable Lapwing","Charadriidae (Plovers)","CR"
"3151","Peltohyas australis","Inland Dotterel","Charadriidae (Plovers)","LC"
"3179","Smutsornis africanus","Double-banded Courser","Glareolidae (Coursers, Pratincoles)","LC"
"32586","Cursorius cursor","Cream-coloured Courser","Glareolidae (Coursers, Pratincoles)","LC"
"31645","Cursorius somalensis","Somali Courser","Glareolidae (Coursers, Pratincoles)","LC"
"3184","Cursorius rufus","Burchell's Courser","Glareolidae (Coursers, Pratincoles)","LC"
"3251","Pagophila eburnea","Ivory Gull","Laridae (Gulls, Terns, Skimmers)","NT"
"3219","Larus californicus","California Gull","Laridae (Gulls, Terns, Skimmers)","LC"
"3280","Sternula lorata","Peruvian Tern","Laridae (Gulls, Terns, Skimmers)","EN"
"3282","Sternula balaenarum","Damara Tern","Laridae (Gulls, Terns, Skimmers)","VU"
"1017052","Ninox boobook","Southern Boobook","Strigidae (Typical Owls)","LC"
"2272","Glaucidium nana","Austral Pygmy-owl","Strigidae (Typical Owls)","LC"
"2290","Athene cunicularia","Burrowing Owl","Strigidae (Typical Owls)","LC"
"2288","Athene brama","Spotted Owlet","Strigidae (Typical Owls)","LC"
"2292","Aegolius acadicus","Northern Saw-whet Owl","Strigidae (Typical Owls)","LC"
"1017041","Otus pamelae","Arabian Scops-owl","Strigidae (Typical Owls)","LC"
"2174","Otus brucei","Pallid Scops-owl","Strigidae (Typical Owls)","LC"
"1017042","Otus socotranus","Socotra Scops-owl","Strigidae (Typical Owls)","LC"
"1017027","Ptilopsis leucotis","Northern White-faced Owl","Strigidae (Typical Owls)","LC"
"1017026","Ptilopsis granti","Southern White-faced Owl","Strigidae (Typical Owls)","LC"
"2192","Megascops kennicottii","Western Screech-owl","Strigidae (Typical Owls)","LC"
"2241","Strix hadorami","Desert Tawny Owl","Strigidae (Typical Owls)","LC"
"1017023","Bubo virginianus","Great Horned Owl","Strigidae (Typical Owls)","LC"
"1016557","Bubo magellanicus","Magellanic Horned Owl","Strigidae (Typical Owls)","LC"
"2217","Bubo ascalaphus","Pharaoh Eagle-owl","Strigidae (Typical Owls)","LC"
"2218","Bubo capensis","Cape Eagle-owl","Strigidae (Typical Owls)","LC"
"1017021","Bubo africanus","Spotted Eagle-owl","Strigidae (Typical Owls)","LC"
"1017022","Bubo cinerascens","Greyish Eagle-owl","Strigidae (Typical Owls)","LC"
"3818","Cathartes aura","Turkey Vulture","Cathartidae (New World vultures)","LC"
"3822","Vultur gryphus","Andean Condor","Cathartidae (New World vultures)","VU"
"3342","Elanus caeruleus","Black-winged Kite","Accipitridae (Hawks, Eagles)","LC"
"3346","Chelictinia riocourii","Scissor-tailed Kite","Accipitridae (Hawks, Eagles)","LC"
"3338","Hamirostra melanosternon","Black-breasted Buzzard","Accipitridae (Hawks, Eagles)","LC"
"32257","Circaetus gallicus","Short-toed Snake-eagle","Accipitridae (Hawks, Eagles)","LC"
"32259","Circaetus pectoralis","Black-chested Snake-eagle","Accipitridae (Hawks, Eagles)","LC"
"3386","Circaetus cinereus","Brown Snake-eagle","Accipitridae (Hawks, Eagles)","LC"
"3372","Necrosyrtes monachus","Hooded Vulture","Accipitridae (Hawks, Eagles)","CR"
"3373","Gyps africanus","White-backed Vulture","Accipitridae (Hawks, Eagles)","CR"
"3379","Gyps coprotheres","Cape Vulture","Accipitridae (Hawks, Eagles)","EN"
"3376","Gyps rueppelli","Rüppell's Vulture","Accipitridae (Hawks, Eagles)","CR"
"3381","Torgos tracheliotos","Lappet-faced Vulture","Accipitridae (Hawks, Eagles)","EN"
"3537","Aquila chrysaetos","Golden Eagle","Accipitridae (Hawks, Eagles)","LC"
"3539","Aquila verreauxii","Verreaux's Eagle","Accipitridae (Hawks, Eagles)","LC"
"3543","Hieraaetus pennatus","Booted Eagle","Accipitridae (Hawks, Eagles)","LC"
"3417","Melierax canorus","Pale Chanting-goshawk","Accipitridae (Hawks, Eagles)","LC"
"1101861","Milvus migrans","Black Kite","Accipitridae (Hawks, Eagles)","LC"
"32412","Milvus aegyptius","Yellow-billed Kite","Accipitridae (Hawks, Eagles)","LC"
"3513","Buteo jamaicensis","Red-tailed Hawk","Accipitridae (Hawks, Eagles)","LC"
"3520","Buteo regalis","Ferruginous Hawk","Accipitridae (Hawks, Eagles)","LC"
"31532","Buteo augur","Augur Buzzard","Accipitridae (Hawks, Eagles)","LC"
"3519","Buteo hemilasius","Upland Buzzard","Accipitridae (Hawks, Eagles)","LC"
"1173","Merops albicollis","White-throated Bee-eater","Meropidae (Bee-eaters)","LC"
"1172","Merops revoilii","Somali Bee-eater","Meropidae (Bee-eaters)","LC"
"1016777","Merops viridissimus","African Green Bee-eater","Meropidae (Bee-eaters)","LC"
"1016529","Merops cyanophrys","Arabian Green Bee-eater","Meropidae (Bee-eaters)","LC"
"1016526","Merops orientalis","Asian Green Bee-eater","Meropidae (Bee-eaters)","LC"
"1177","Merops persicus","Blue-cheeked Bee-eater","Meropidae (Bee-eaters)","LC"
"820","Trachyphonus erythrocephalus","Red-and-yellow Barbet","Lybiidae (African barbets)","LC"
"802","Tricholaema leucomelas","Acacia Pied Barbet","Lybiidae (African barbets)","LC"
"686","Colaptes chrysoides","Gilded Flicker","Picidae (Woodpeckers)","LC"
"1016792","Colaptes melanochloros","Green-barred Woodpecker","Picidae (Woodpeckers)","LC"
"1016795","Colaptes melanolaimus","Golden-breasted Woodpecker","Picidae (Woodpeckers)","LC"
"636","Leiopicus mahrattensis","Yellow-crowned Woodpecker","Picidae (Woodpeckers)","LC"
"646","Dendrocopos assimilis","Sind Woodpecker","Picidae (Woodpeckers)","LC"
"645","Dendrocopos leucopterus","White-winged Woodpecker","Picidae (Woodpeckers)","LC"
"3589","Falco naumanni","Lesser Kestrel","Falconidae (Falcons, Caracaras)","LC"
"3596","Falco sparverius","American Kestrel","Falconidae (Falcons, Caracaras)","LC"
"3597","Falco rupicoloides","Greater Kestrel","Falconidae (Falcons, Caracaras)","LC"
"3598","Falco alopex","Fox Kestrel","Falconidae (Falcons, Caracaras)","LC"
"3606","Falco concolor","Sooty Falcon","Falconidae (Falcons, Caracaras)","VU"
"3607","Falco femoralis","Aplomado Falcon","Falconidae (Falcons, Caracaras)","LC"
"3588","Falco berigora","Brown Falcon","Falconidae (Falcons, Caracaras)","LC"
"3617","Falco biarmicus","Lanner Falcon","Falconidae (Falcons, Caracaras)","LC"
"1016472","Falco peregrinus","Peregrine Falcon","Falconidae (Falcons, Caracaras)","LC"
"1469","Northiella haematogaster","Bluebonnet","Psittacidae (Parrots)","LC"
"1482","Neophema chrysostoma","Blue-winged Parrot","Psittacidae (Parrots)","LC"
"1489","Melopsittacus undulatus","Budgerigar","Psittacidae (Parrots)","LC"
"1458","Polytelis alexandrae","Princess Parrot","Psittacidae (Parrots)","NT"
"1527","Palaeornis eupatria","Alexandrine Parakeet","Psittacidae (Parrots)","NT"
"4474","Phytotoma raimondii","Peruvian Plantcutter","Cotingidae (Cotingas)","VU"
"4119","Camptostoma imberbe","Northern Beardless Tyrannulet","Tyrannidae (Tyrant-flycatchers)","LC"
