"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"1016860","Struthio camelus","Common Ostrich","Struthionidae (Ostriches)","LC"
"31769","Struthio molybdophanes","Somali Ostrich","Struthionidae (Ostriches)","VU"
"2","Rhea americana","Greater Rhea","Rheidae (Rheas)","NT"
"1016842","Rhea pennata","Lesser Rhea","Rheidae (Rheas)","LC"
"1016844","Rhea tarapacensis","Puna Rhea","Rheidae (Rheas)","NT"
"32199","Rhynchotus rufescens","Red-winged Tinamou","Tinamidae (Tinamous)","LC"
"43","Nothoprocta taczanowskii","Taczanowski's Tinamou","Tinamidae (Tinamous)","VU"
"45","Nothoprocta ornata","Ornate Tinamou","Tinamidae (Tinamous)","LC"
"48","Nothoprocta perdicaria","Chilean Tinamou","Tinamidae (Tinamous)","LC"
"47","Nothoprocta cinerascens","Brushland Tinamou","Tinamidae (Tinamous)","LC"
"49","Nothoprocta curvirostris","Curve-billed Tinamou","Tinamidae (Tinamous)","LC"
"54","Nothura boraquira","White-bellied Nothura","Tinamidae (Tinamous)","LC"
"53","Nothura minor","Lesser Nothura","Tinamidae (Tinamous)","VU"
"50","Nothura darwinii","Darwin's Nothura","Tinamidae (Tinamous)","LC"
"1099054","Nothura maculosa","Spotted Nothura","Tinamidae (Tinamous)","LC"
"55","Taoniscus nanus","Dwarf Tinamou","Tinamidae (Tinamous)","EN"
"56","Eudromia elegans","Elegant Crested Tinamou","Tinamidae (Tinamous)","LC"
"58","Tinamotis pentlandii","Puna Tinamou","Tinamidae (Tinamous)","LC"
"59","Tinamotis ingoufi","Patagonian Tinamou","Tinamidae (Tinamous)","LC"
"7","Dromaius novaehollandiae","Common Emu","Casuariidae (Cassowaries, Emus)","LC"
"10","Apteryx haastii","Great Spotted Kiwi","Apterygidae (Kiwis)","VU"
"9","Apteryx owenii","Little Spotted Kiwi","Apterygidae (Kiwis)","NT"
"8","Apteryx australis","Southern Brown Kiwi","Apterygidae (Kiwis)","VU"
"30044","Ortalis columbiana","Colombian Chachalaca","Cracidae (Guans, Chachalacas, Curassows)","LC"
"31359","Ortalis araucuan","East Brazilian Chachalaca","Cracidae (Guans, Chachalacas, Curassows)","LC"
"308","Numida meleagris","Helmeted Guineafowl","Numididae (Guineafowl)","LC"
