"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"125","Megapodius laperouse","Micronesian Scrubfowl","Megapodiidae (Megapodes)","EN"
"353","Dendrocygna arborea","West Indian Whistling-duck","Anatidae (Ducks, Geese, Swans)","NT"
"350","Dendrocygna arcuata","Wandering Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"351","Dendrocygna javanica","Lesser Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"1016821","Oxyura jamaicensis","Ruddy Duck","Anatidae (Ducks, Geese, Swans)","LC"
"1016727","Oxyura ferruginea","Andean Duck","Anatidae (Ducks, Geese, Swans)","LC"
"359","Oxyura leucocephala","White-headed Duck","Anatidae (Ducks, Geese, Swans)","EN"
"363","Biziura lobata","Musk Duck","Anatidae (Ducks, Geese, Swans)","LC"
"365","Stictonetta naevosa","Freckled Duck","Anatidae (Ducks, Geese, Swans)","LC"
"388","Cereopsis novaehollandiae","Cape Barren Goose","Anatidae (Ducks, Geese, Swans)","LC"
"368","Cygnus melancoryphus","Black-necked Swan","Anatidae (Ducks, Geese, Swans)","LC"
"367","Cygnus atratus","Black Swan","Anatidae (Ducks, Geese, Swans)","LC"
"366","Cygnus olor","Mute Swan","Anatidae (Ducks, Geese, Swans)","LC"
"387","Branta ruficollis","Red-breasted Goose","Anatidae (Ducks, Geese, Swans)","VU"
"382","Anser canagicus","Emperor Goose","Anatidae (Ducks, Geese, Swans)","NT"
"376","Anser albifrons","Greater White-fronted Goose","Anatidae (Ducks, Geese, Swans)","LC"
"484","Somateria mollissima","Common Eider","Anatidae (Ducks, Geese, Swans)","NT"
"496","Bucephala albeola","Bufflehead","Anatidae (Ducks, Geese, Swans)","LC"
"495","Bucephala islandica","Barrow's Goldeneye","Anatidae (Ducks, Geese, Swans)","LC"
"497","Mergellus albellus","Smew","Anatidae (Ducks, Geese, Swans)","LC"
"498","Lophodytes cucullatus","Hooded Merganser","Anatidae (Ducks, Geese, Swans)","LC"
"500","Mergus serrator","Red-breasted Merganser","Anatidae (Ducks, Geese, Swans)","LC"
"392","Chloephaga hybrida","Kelp Goose","Anatidae (Ducks, Geese, Swans)","LC"
"393","Chloephaga poliocephala","Ashy-headed Goose","Anatidae (Ducks, Geese, Swans)","LC"
"413","Nettapus pulchellus","Green Pygmy-goose","Anatidae (Ducks, Geese, Swans)","LC"
"467","Marmaronetta angustirostris","Marbled Teal","Anatidae (Ducks, Geese, Swans)","VU"
"472","Aythya ferina","Common Pochard","Anatidae (Ducks, Geese, Swans)","VU"
"473","Aythya valisineria","Canvasback","Anatidae (Ducks, Geese, Swans)","LC"
"479","Aythya australis","Hardhead","Anatidae (Ducks, Geese, Swans)","LC"
"476","Aythya nyroca","Ferruginous Duck","Anatidae (Ducks, Geese, Swans)","NT"
"481","Aythya novaeseelandiae","New Zealand Scaup","Anatidae (Ducks, Geese, Swans)","LC"
"483","Aythya affinis","Lesser Scaup","Anatidae (Ducks, Geese, Swans)","LC"
"405","Tachyeres leucocephalus","White-headed Steamerduck","Anatidae (Ducks, Geese, Swans)","VU"
"406","Tachyeres brachypterus","Falkland Steamerduck","Anatidae (Ducks, Geese, Swans)","LC"
"460","Spatula querquedula","Garganey","Anatidae (Ducks, Geese, Swans)","LC"
"446","Spatula platalea","Red Shoveler","Anatidae (Ducks, Geese, Swans)","LC"
"445","Spatula smithii","Cape Shoveler","Anatidae (Ducks, Geese, Swans)","LC"
"447","Spatula rhynchotis","Australian Shoveler","Anatidae (Ducks, Geese, Swans)","LC"
"448","Spatula clypeata","Northern Shoveler","Anatidae (Ducks, Geese, Swans)","LC"
"443","Spatula discors","Blue-winged Teal","Anatidae (Ducks, Geese, Swans)","LC"
"428","Mareca falcata","Falcated Duck","Anatidae (Ducks, Geese, Swans)","NT"
"429","Mareca penelope","Eurasian Wigeon","Anatidae (Ducks, Geese, Swans)","LC"
"430","Mareca americana","American Wigeon","Anatidae (Ducks, Geese, Swans)","LC"
"441","Anas undulata","Yellow-billed Duck","Anatidae (Ducks, Geese, Swans)","LC"
"439","Anas luzonica","Philippine Duck","Anatidae (Ducks, Geese, Swans)","VU"
"32626","Anas zonorhyncha","Chinese Spot-billed Duck","Anatidae (Ducks, Geese, Swans)","LC"
"32715","Anas poecilorhyncha","Indian Spot-billed Duck","Anatidae (Ducks, Geese, Swans)","LC"
"437","Anas laysanensis","Laysan Duck","Anatidae (Ducks, Geese, Swans)","CR"
"433","Anas rubripes","American Black Duck","Anatidae (Ducks, Geese, Swans)","LC"
"436","Anas wyvilliana","Hawaiian Duck","Anatidae (Ducks, Geese, Swans)","EN"
"451","Anas gracilis","Grey Teal","Anatidae (Ducks, Geese, Swans)","LC"
"452","Anas castanea","Chestnut Teal","Anatidae (Ducks, Geese, Swans)","LC"
"9819","Anas nesiotis","Campbell Teal","Anatidae (Ducks, Geese, Swans)","VU"
"449","Anas bernieri","Madagascar Teal","Anatidae (Ducks, Geese, Swans)","EN"
"426","Anas capensis","Cape Teal","Anatidae (Ducks, Geese, Swans)","LC"
"457","Anas acuta","Northern Pintail","Anatidae (Ducks, Geese, Swans)","LC"
