"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"116","Macrocephalon maleo","Maleo","Megapodiidae (Megapodes)","EN"
"127","Eulipoa wallacei","Moluccan Scrubfowl","Megapodiidae (Megapodes)","VU"
"118","Megapodius cumingii","Philippine Scrubfowl","Megapodiidae (Megapodes)","LC"
"126","Megapodius pritchardii","Tongan Scrubfowl","Megapodiidae (Megapodes)","VU"
"123","Megapodius eremita","Melanesian Scrubfowl","Megapodiidae (Megapodes)","LC"
"388","Cereopsis novaehollandiae","Cape Barren Goose","Anatidae (Ducks, Geese, Swans)","LC"
"386","Branta bernicla","Brent Goose","Anatidae (Ducks, Geese, Swans)","LC"
"385","Branta leucopsis","Barnacle Goose","Anatidae (Ducks, Geese, Swans)","LC"
"382","Anser canagicus","Emperor Goose","Anatidae (Ducks, Geese, Swans)","NT"
"380","Anser caerulescens","Snow Goose","Anatidae (Ducks, Geese, Swans)","LC"
"373","Anser cygnoid","Swan Goose","Anatidae (Ducks, Geese, Swans)","VU"
"374","Anser brachyrhynchus","Pink-footed Goose","Anatidae (Ducks, Geese, Swans)","LC"
"484","Somateria mollissima","Common Eider","Anatidae (Ducks, Geese, Swans)","NT"
"487","Polysticta stelleri","Steller's Eider","Anatidae (Ducks, Geese, Swans)","VU"
"489","Histrionicus histrionicus","Harlequin Duck","Anatidae (Ducks, Geese, Swans)","LC"
"488","Camptorhynchus labradorius","Labrador Duck","Anatidae (Ducks, Geese, Swans)","EX"
"392","Chloephaga hybrida","Kelp Goose","Anatidae (Ducks, Geese, Swans)","LC"
"403","Radjah radjah","Radjah Shelduck","Anatidae (Ducks, Geese, Swans)","LC"
"402","Tadorna tadorna","Common Shelduck","Anatidae (Ducks, Geese, Swans)","LC"
"399","Tadorna tadornoides","Australian Shelduck","Anatidae (Ducks, Geese, Swans)","LC"
"400","Tadorna variegata","Paradise Shelduck","Anatidae (Ducks, Geese, Swans)","LC"
"474","Aythya americana","Redhead","Anatidae (Ducks, Geese, Swans)","LC"
"473","Aythya valisineria","Canvasback","Anatidae (Ducks, Geese, Swans)","LC"
"407","Tachyeres patachonicus","Flying Steamerduck","Anatidae (Ducks, Geese, Swans)","LC"
"405","Tachyeres leucocephalus","White-headed Steamerduck","Anatidae (Ducks, Geese, Swans)","VU"
"404","Tachyeres pteneres","Magellanic Steamerduck","Anatidae (Ducks, Geese, Swans)","LC"
"406","Tachyeres brachypterus","Falkland Steamerduck","Anatidae (Ducks, Geese, Swans)","LC"
"460","Spatula querquedula","Garganey","Anatidae (Ducks, Geese, Swans)","LC"
"448","Spatula clypeata","Northern Shoveler","Anatidae (Ducks, Geese, Swans)","LC"
"443","Spatula discors","Blue-winged Teal","Anatidae (Ducks, Geese, Swans)","LC"
"429","Mareca penelope","Eurasian Wigeon","Anatidae (Ducks, Geese, Swans)","LC"
"430","Mareca americana","American Wigeon","Anatidae (Ducks, Geese, Swans)","LC"
"440","Anas superciliosa","Pacific Black Duck","Anatidae (Ducks, Geese, Swans)","LC"
"437","Anas laysanensis","Laysan Duck","Anatidae (Ducks, Geese, Swans)","CR"
"433","Anas rubripes","American Black Duck","Anatidae (Ducks, Geese, Swans)","LC"
"434","Anas fulvigula","Mottled Duck","Anatidae (Ducks, Geese, Swans)","LC"
"30002","Anas chlorotis","Brown Teal","Anatidae (Ducks, Geese, Swans)","NT"
"453","Anas aucklandica","Auckland Teal","Anatidae (Ducks, Geese, Swans)","VU"
"9819","Anas nesiotis","Campbell Teal","Anatidae (Ducks, Geese, Swans)","VU"
"426","Anas capensis","Cape Teal","Anatidae (Ducks, Geese, Swans)","LC"
"454","Anas bahamensis","White-cheeked Pintail","Anatidae (Ducks, Geese, Swans)","LC"
"458","Anas eatoni","Southern Pintail","Anatidae (Ducks, Geese, Swans)","VU"
"462","Anas crecca","Common Teal","Anatidae (Ducks, Geese, Swans)","LC"
"30242","Anas carolinensis","Green-winged Teal","Anatidae (Ducks, Geese, Swans)","LC"
"3635","Poliocephalus poliocephalus","Hoary-headed Grebe","Podicipedidae (Grebes)","LC"
"3770","Phoenicopterus chilensis","Chilean Flamingo","Phoenicopteridae (Flamingos)","NT"
"3771","Phoeniconaias minor","Lesser Flamingo","Phoenicopteridae (Flamingos)","NT"
"1016538","Eurostopodus mystacalis","White-throated Nightjar","Caprimulgidae (Nightjars)","LC"
"1016541","Eurostopodus nigripennis","Solomons Nightjar","Caprimulgidae (Nightjars)","VU"
"2367","Chordeiles minor","Common Nighthawk","Caprimulgidae (Nightjars)","LC"
"2424","Caprimulgus affinis","Savanna Nightjar","Caprimulgidae (Nightjars)","LC"
"1228","Chalcites basalis","Horsfield's Bronze-cuckoo","Cuculidae (Cuckoos)","LC"
"2841","Laterallus jamaicensis","Black Rail","Rallidae (Rails, Gallinules, Coots)","EN"
"1017065","Rallus longirostris","Mangrove Rail","Rallidae (Rails, Gallinules, Coots)","LC"
"31361","Rallus obsoletus","Ridgway's Rail","Rallidae (Rails, Gallinules, Coots)","NT"
"1017066","Rallus crepitans","Clapper Rail","Rallidae (Rails, Gallinules, Coots)","LC"
"2874","Lewinia pectoralis","Lewin's Rail","Rallidae (Rails, Gallinules, Coots)","LC"
"2848","Gallirallus australis","Weka","Rallidae (Rails, Gallinules, Coots)","VU"
"2923","Eulabeornis castaneoventris","Chestnut Rail","Rallidae (Rails, Gallinules, Coots)","LC"
"2855","Hypotaenidia philippensis","Buff-banded Rail","Rallidae (Rails, Gallinules, Coots)","LC"
"2876","Dryolimnas cuvieri","White-throated Rail","Rallidae (Rails, Gallinules, Coots)","LC"
"2904","Porzana fluminea","Australian Crake","Rallidae (Rails, Gallinules, Coots)","LC"
"2901","Zapornia pusilla","Baillon's Crake","Rallidae (Rails, Gallinules, Coots)","LC"
"2911","Zapornia tabuensis","Spotless Crake","Rallidae (Rails, Gallinules, Coots)","LC"
"2912","Zapornia monasa","Kosrae Crake","Rallidae (Rails, Gallinules, Coots)","EX"
"1017068","Fulica americana","American Coot","Rallidae (Rails, Gallinules, Coots)","LC"
"2798","Grus japonensis","Red-crowned Crane","Gruidae (Cranes)","EN"
"2794","Grus grus","Common Crane","Gruidae (Cranes)","LC"
"2795","Grus monacha","Hooded Crane","Gruidae (Cranes)","VU"
"3849","Aptenodytes forsteri","Emperor Penguin","Spheniscidae (Penguins)","NT"
"3851","Pygoscelis adeliae","Adelie Penguin","Spheniscidae (Penguins)","LC"
"3852","Pygoscelis antarcticus","Chinstrap Penguin","Spheniscidae (Penguins)","LC"
"3857","Eudyptes chrysolophus","Macaroni Penguin","Spheniscidae (Penguins)","VU"
"32304","Eudyptes moseleyi","Northern Rockhopper Penguin","Spheniscidae (Penguins)","EN"
"32472","Eudyptes chrysocome","Southern Rockhopper Penguin","Spheniscidae (Penguins)","VU"
"3856","Eudyptes sclateri","Erect-crested Penguin","Spheniscidae (Penguins)","EN"
"3854","Eudyptes pachyrhynchus","Fiordland Penguin","Spheniscidae (Penguins)","NT"
"3860","Eudyptula minor","Little Penguin","Spheniscidae (Penguins)","LC"
"3861","Spheniscus demersus","African Penguin","Spheniscidae (Penguins)","EN"
"3863","Spheniscus magellanicus","Magellanic Penguin","Spheniscidae (Penguins)","LC"
"3862","Spheniscus humboldti","Humboldt Penguin","Spheniscidae (Penguins)","VU"
"3864","Spheniscus mendiculus","Galapagos Penguin","Spheniscidae (Penguins)","EN"
"3969","Oceanites oceanicus","Wilson's Storm-petrel","Oceanitidae (Southern Storm-petrels)","LC"
"3972","Pelagodroma marina","White-faced Storm-petrel","Oceanitidae (Southern Storm-petrels)","LC"
"3974","Fregetta grallaria","White-bellied Storm-petrel","Oceanitidae (Southern Storm-petrels)","LC"
"3975","Nesofregetta fuliginosa","Polynesian Storm-petrel","Oceanitidae (Southern Storm-petrels)","EN"
