"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"229","Ptilopachus petrosus","Stone Partridge","Odontophoridae (New World quails)","LC"
"233","Galloperdix lunulata","Painted Spurfowl","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"132","Tetraogallus caucasicus","Caucasian Snowcock","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"133","Tetraogallus caspius","Caspian Snowcock","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"136","Tetraogallus himalayensis","Himalayan Snowcock","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"134","Tetraogallus tibetanus","Tibetan Snowcock","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"142","Alectoris magna","Przevalski's Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"141","Alectoris philbyi","Philby's Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"144","Alectoris rufa","Red-legged Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"145","Alectoris melanocephala","Arabian Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"129","Lerwa lerwa","Snow Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"130","Ammoperdix griseogularis","See-see Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"131","Ammoperdix heyi","Sand Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"171","Pternistis hildebrandti","Hildebrandt's Francolin","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"186","Pternistis swierstrai","Swierstra's Francolin","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","EN"
"1016848","Scleroptila shelleyi","Shelley's Francolin","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"1016849","Scleroptila whytei","Whyte's Francolin","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"137","Tetraophasis obscurus","Chestnut-throated Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"138","Tetraophasis szechenyii","Buff-throated Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"292","Lagopus leucura","White-tailed Ptarmigan","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"380","Anser caerulescens","Snow Goose","Anatidae (Ducks, Geese, Swans)","LC"
"381","Anser rossii","Ross's Goose","Anatidae (Ducks, Geese, Swans)","LC"
"379","Anser indicus","Bar-headed Goose","Anatidae (Ducks, Geese, Swans)","LC"
"377","Anser erythropus","Lesser White-fronted Goose","Anatidae (Ducks, Geese, Swans)","VU"
"2444","Columba livia","Rock Dove","Columbidae (Pigeons, Doves)","LC"
"2445","Columba rupestris","Hill Pigeon","Columbidae (Pigeons, Doves)","LC"
"2446","Columba leuconota","Snow Pigeon","Columbidae (Pigeons, Doves)","LC"
"2447","Columba guinea","Speckled Pigeon","Columbidae (Pigeons, Doves)","LC"
"2448","Columba albitorques","White-collared Pigeon","Columbidae (Pigeons, Doves)","LC"
"2449","Columba oenas","Stock Dove","Columbidae (Pigeons, Doves)","LC"
"2557","Zenaida aurita","Zenaida Dove","Columbidae (Pigeons, Doves)","LC"
"2545","Petrophassa albipennis","White-quilled Rock-pigeon","Columbidae (Pigeons, Doves)","LC"
"2542","Geophaps plumifera","Spinifex Pigeon","Columbidae (Pigeons, Doves)","LC"
"2966","Pterocles personatus","Madagascar Sandgrouse","Pteroclidae (Sandgrouse)","LC"
"2968","Pterocles bicinctus","Double-banded Sandgrouse","Pteroclidae (Sandgrouse)","LC"
"2970","Pterocles indicus","Painted Sandgrouse","Pteroclidae (Sandgrouse)","LC"
"2395","Nyctipolus nigrescens","Blackish Nightjar","Caprimulgidae (Nightjars)","LC"
"2372","Phalaenoptilus nuttallii","Common Poorwill","Caprimulgidae (Nightjars)","LC"
"1016477","Caprimulgus jotaka","Grey Nightjar","Caprimulgidae (Nightjars)","LC"
"2405","Caprimulgus mahrattensis","Sykes's Nightjar","Caprimulgidae (Nightjars)","LC"
"2422","Caprimulgus inornatus","Plain Nightjar","Caprimulgidae (Nightjars)","LC"
"2425","Caprimulgus tristigma","Freckled Nightjar","Caprimulgidae (Nightjars)","LC"
"2430","Caprimulgus climacurus","Long-tailed Nightjar","Caprimulgidae (Nightjars)","LC"
"2431","Caprimulgus clarus","Slender-tailed Nightjar","Caprimulgidae (Nightjars)","LC"
"2432","Caprimulgus fossii","Mozambique Nightjar","Caprimulgidae (Nightjars)","LC"
"1699","Cypseloides cherriei","Spot-fronted Swift","Apodidae (Swifts)","DD"
"1701","Cypseloides cryptus","White-chinned Swift","Apodidae (Swifts)","LC"
"1700","Cypseloides storeri","White-fronted Swift","Apodidae (Swifts)","DD"
"1695","Cypseloides niger","Black Swift","Apodidae (Swifts)","VU"
"1698","Cypseloides fumigatus","Sooty Swift","Apodidae (Swifts)","LC"
"1702","Cypseloides senex","Great Dusky Swift","Apodidae (Swifts)","LC"
"1693","Streptoprocne rutila","Chestnut-collared Swift","Apodidae (Swifts)","LC"
"1703","Streptoprocne zonaris","White-collared Swift","Apodidae (Swifts)","LC"
"1704","Streptoprocne biscutata","Biscutate Swift","Apodidae (Swifts)","LC"
"1705","Streptoprocne semicollaris","White-naped Swift","Apodidae (Swifts)","LC"
"1745","Telacanthura melanopygia","Black Spinetail","Apodidae (Swifts)","LC"
"1748","Neafrapus cassini","Cassin's Spinetail","Apodidae (Swifts)","LC"
"1706","Hydrochous gigas","Waterfall Swift","Apodidae (Swifts)","NT"
"1717","Aerodramus terraereginae","Australian Swiftlet","Apodidae (Swifts)","LC"
"1016955","Aerodramus brevirostris","Himalayan Swiftlet","Apodidae (Swifts)","LC"
"1719","Aerodramus vulcanorum","Volcano Swiftlet","Apodidae (Swifts)","NT"
