"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"1016860","Struthio camelus","Common Ostrich","Struthionidae (Ostriches)","LC"
"31769","Struthio molybdophanes","Somali Ostrich","Struthionidae (Ostriches)","VU"
"2","Rhea americana","Greater Rhea","Rheidae (Rheas)","NT"
"25","Crypturellus undulatus","Undulated Tinamou","Tinamidae (Tinamous)","LC"
"33","Crypturellus duidae","Grey-legged Tinamou","Tinamidae (Tinamous)","LC"
"31001","Crypturellus erythropus","Red-legged Tinamou","Tinamidae (Tinamous)","LC"
"34","Crypturellus noctivagus","Yellow-legged Tinamou","Tinamidae (Tinamous)","NT"
"39","Crypturellus parvirostris","Small-billed Tinamou","Tinamidae (Tinamous)","LC"
"32199","Rhynchotus rufescens","Red-winged Tinamou","Tinamidae (Tinamous)","LC"
"31983","Rhynchotus maculicollis","Huayco Tinamou","Tinamidae (Tinamous)","LC"
"47","Nothoprocta cinerascens","Brushland Tinamou","Tinamidae (Tinamous)","LC"
"54","Nothura boraquira","White-bellied Nothura","Tinamidae (Tinamous)","LC"
"53","Nothura minor","Lesser Nothura","Tinamidae (Tinamous)","VU"
"50","Nothura darwinii","Darwin's Nothura","Tinamidae (Tinamous)","LC"
"1099054","Nothura maculosa","Spotted Nothura","Tinamidae (Tinamous)","LC"
"55","Taoniscus nanus","Dwarf Tinamou","Tinamidae (Tinamous)","EN"
"56","Eudromia elegans","Elegant Crested Tinamou","Tinamidae (Tinamous)","LC"
"57","Eudromia formosa","Quebracho Crested Tinamou","Tinamidae (Tinamous)","LC"
"59","Tinamotis ingoufi","Patagonian Tinamou","Tinamidae (Tinamous)","LC"
"4","Casuarius casuarius","Southern Cassowary","Casuariidae (Cassowaries, Emus)","LC"
"7","Dromaius novaehollandiae","Common Emu","Casuariidae (Cassowaries, Emus)","LC"
"30069","Dromaius minor","King Island Emu","Casuariidae (Cassowaries, Emus)","EX"
"110","Alectura lathami","Australian Brush-turkey","Megapodiidae (Megapodes)","LC"
"128","Leipoa ocellata","Malleefowl","Megapodiidae (Megapodes)","VU"
"119","Megapodius bernsteinii","Sula Scrubfowl","Megapodiidae (Megapodes)","VU"
"77","Penelope superciliaris","Rusty-margined Guan","Cracidae (Guans, Chachalacas, Curassows)","LC"
