"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"1016860","Struthio camelus","Common Ostrich","Struthionidae (Ostriches)","LC"
"31769","Struthio molybdophanes","Somali Ostrich","Struthionidae (Ostriches)","VU"
"2","Rhea americana","Greater Rhea","Rheidae (Rheas)","NT"
"1016842","Rhea pennata","Lesser Rhea","Rheidae (Rheas)","LC"
"1016844","Rhea tarapacensis","Puna Rhea","Rheidae (Rheas)","NT"
"20","Crypturellus cinereus","Cinereous Tinamou","Tinamidae (Tinamous)","LC"
"21","Crypturellus soui","Little Tinamou","Tinamidae (Tinamous)","LC"
"25","Crypturellus undulatus","Undulated Tinamou","Tinamidae (Tinamous)","LC"
"33","Crypturellus duidae","Grey-legged Tinamou","Tinamidae (Tinamous)","LC"
"31001","Crypturellus erythropus","Red-legged Tinamou","Tinamidae (Tinamous)","LC"
"34","Crypturellus noctivagus","Yellow-legged Tinamou","Tinamidae (Tinamous)","NT"
"1016978","Crypturellus occidentalis","Western Thicket Tinamou","Tinamidae (Tinamous)","LC"
"1016977","Crypturellus cinnamomeus","Eastern Thicket Tinamou","Tinamidae (Tinamous)","LC"
"39","Crypturellus parvirostris","Small-billed Tinamou","Tinamidae (Tinamous)","LC"
"32199","Rhynchotus rufescens","Red-winged Tinamou","Tinamidae (Tinamous)","LC"
"31983","Rhynchotus maculicollis","Huayco Tinamou","Tinamidae (Tinamous)","LC"
"43","Nothoprocta taczanowskii","Taczanowski's Tinamou","Tinamidae (Tinamous)","VU"
"45","Nothoprocta ornata","Ornate Tinamou","Tinamidae (Tinamous)","LC"
"48","Nothoprocta perdicaria","Chilean Tinamou","Tinamidae (Tinamous)","LC"
"47","Nothoprocta cinerascens","Brushland Tinamou","Tinamidae (Tinamous)","LC"
"46","Nothoprocta pentlandii","Andean Tinamou","Tinamidae (Tinamous)","LC"
"49","Nothoprocta curvirostris","Curve-billed Tinamou","Tinamidae (Tinamous)","LC"
"54","Nothura boraquira","White-bellied Nothura","Tinamidae (Tinamous)","LC"
"53","Nothura minor","Lesser Nothura","Tinamidae (Tinamous)","VU"
"50","Nothura darwinii","Darwin's Nothura","Tinamidae (Tinamous)","LC"
"1099054","Nothura maculosa","Spotted Nothura","Tinamidae (Tinamous)","LC"
