"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"1016842","Rhea pennata","Lesser Rhea","Rheidae (Rheas)","LC"
"1016844","Rhea tarapacensis","Puna Rhea","Rheidae (Rheas)","NT"
"116","Macrocephalon maleo","Maleo","Megapodiidae (Megapodes)","EN"
"126","Megapodius pritchardii","Tongan Scrubfowl","Megapodiidae (Megapodes)","VU"
"121","Megapodius freycinet","Dusky Scrubfowl","Megapodiidae (Megapodes)","LC"
"77","Penelope superciliaris","Rusty-margined Guan","Cracidae (Guans, Chachalacas, Curassows)","LC"
"1016773","Pipile cumanensis","Blue-throated Piping-guan","Cracidae (Guans, Chachalacas, Curassows)","LC"
"1016775","Pipile grayi","White-throated Piping-guan","Cracidae (Guans, Chachalacas, Curassows)","NT"
"90","Pipile jacutinga","Black-fronted Piping-guan","Cracidae (Guans, Chachalacas, Curassows)","EN"
"68","Ortalis leucogastra","White-bellied Chachalaca","Cracidae (Guans, Chachalacas, Curassows)","LC"
"200","Synoicus ypsilophorus","Brown Quail","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"202","Synoicus chinensis","Asian Blue Quail","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"201","Synoicus adansonii","African Blue Quail","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"207","Perdicula manipurensis","Manipur Bush-quail","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","EN"
"165","Pternistis bicalcaratus","Double-spurred Francolin","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"168","Pternistis harwoodi","Harwood's Francolin","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"172","Pternistis natalensis","Natal Francolin","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"173","Pternistis ahantensis","Ahanta Francolin","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"179","Pternistis swainsonii","Swainson's Francolin","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"180","Pternistis erckelii","Erckel's Francolin","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"147","Francolinus pictus","Painted Francolin","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"150","Francolinus gularis","Swamp Francolin","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","VU"
"155","Dendroperdix sephaena","Crested Francolin","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"293","Lyrurus tetrix","Black Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"343","Anhima cornuta","Horned Screamer","Anhimidae (Screamers)","LC"
"344","Chauna chavaria","Northern Screamer","Anhimidae (Screamers)","NT"
"345","Chauna torquata","Southern Screamer","Anhimidae (Screamers)","LC"
"346","Anseranas semipalmata","Magpie Goose","Anseranatidae (Magpie Goose)","LC"
"352","Dendrocygna viduata","White-faced Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"354","Dendrocygna autumnalis","Black-bellied Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"347","Dendrocygna guttata","Spotted Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"353","Dendrocygna arborea","West Indian Whistling-duck","Anatidae (Ducks, Geese, Swans)","NT"
"349","Dendrocygna bicolor","Fulvous Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"348","Dendrocygna eytoni","Plumed Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"350","Dendrocygna arcuata","Wandering Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"351","Dendrocygna javanica","Lesser Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"355","Thalassornis leuconotus","White-backed Duck","Anatidae (Ducks, Geese, Swans)","LC"
"364","Heteronetta atricapilla","Black-headed Duck","Anatidae (Ducks, Geese, Swans)","LC"
"356","Nomonyx dominicus","Masked Duck","Anatidae (Ducks, Geese, Swans)","LC"
"1016821","Oxyura jamaicensis","Ruddy Duck","Anatidae (Ducks, Geese, Swans)","LC"
"1016727","Oxyura ferruginea","Andean Duck","Anatidae (Ducks, Geese, Swans)","LC"
"361","Oxyura vittata","Lake Duck","Anatidae (Ducks, Geese, Swans)","LC"
"362","Oxyura australis","Blue-billed Duck","Anatidae (Ducks, Geese, Swans)","NT"
"360","Oxyura maccoa","Maccoa Duck","Anatidae (Ducks, Geese, Swans)","VU"
"359","Oxyura leucocephala","White-headed Duck","Anatidae (Ducks, Geese, Swans)","EN"
"363","Biziura lobata","Musk Duck","Anatidae (Ducks, Geese, Swans)","LC"
"466","Malacorhynchus membranaceus","Pink-eared Duck","Anatidae (Ducks, Geese, Swans)","LC"
"365","Stictonetta naevosa","Freckled Duck","Anatidae (Ducks, Geese, Swans)","LC"
"388","Cereopsis novaehollandiae","Cape Barren Goose","Anatidae (Ducks, Geese, Swans)","LC"
"372","Coscoroba coscoroba","Coscoroba Swan","Anatidae (Ducks, Geese, Swans)","LC"
"368","Cygnus melancoryphus","Black-necked Swan","Anatidae (Ducks, Geese, Swans)","LC"
"367","Cygnus atratus","Black Swan","Anatidae (Ducks, Geese, Swans)","LC"
"366","Cygnus olor","Mute Swan","Anatidae (Ducks, Geese, Swans)","LC"
"370","Cygnus buccinator","Trumpeter Swan","Anatidae (Ducks, Geese, Swans)","LC"
"369","Cygnus cygnus","Whooper Swan","Anatidae (Ducks, Geese, Swans)","LC"
"371","Cygnus columbianus","Tundra Swan","Anatidae (Ducks, Geese, Swans)","LC"
"387","Branta ruficollis","Red-breasted Goose","Anatidae (Ducks, Geese, Swans)","VU"
"32141","Branta hutchinsii","Cackling Goose","Anatidae (Ducks, Geese, Swans)","LC"
"384","Branta canadensis","Canada Goose","Anatidae (Ducks, Geese, Swans)","LC"
"382","Anser canagicus","Emperor Goose","Anatidae (Ducks, Geese, Swans)","NT"
"380","Anser caerulescens","Snow Goose","Anatidae (Ducks, Geese, Swans)","LC"
"381","Anser rossii","Ross's Goose","Anatidae (Ducks, Geese, Swans)","LC"
"379","Anser indicus","Bar-headed Goose","Anatidae (Ducks, Geese, Swans)","LC"
"378","Anser anser","Greylag Goose","Anatidae (Ducks, Geese, Swans)","LC"
"373","Anser cygnoid","Swan Goose","Anatidae (Ducks, Geese, Swans)","VU"
"375","Anser fabalis","Bean Goose","Anatidae (Ducks, Geese, Swans)","LC"
"376","Anser albifrons","Greater White-fronted Goose","Anatidae (Ducks, Geese, Swans)","LC"
"377","Anser erythropus","Lesser White-fronted Goose","Anatidae (Ducks, Geese, Swans)","VU"
"490","Clangula hyemalis","Long-tailed Duck","Anatidae (Ducks, Geese, Swans)","VU"
"486","Somateria fischeri","Spectacled Eider","Anatidae (Ducks, Geese, Swans)","NT"
"485","Somateria spectabilis","King Eider","Anatidae (Ducks, Geese, Swans)","LC"
"487","Polysticta stelleri","Steller's Eider","Anatidae (Ducks, Geese, Swans)","VU"
"492","Melanitta perspicillata","Surf Scoter","Anatidae (Ducks, Geese, Swans)","LC"
"112636","Melanitta fusca","Velvet Scoter","Anatidae (Ducks, Geese, Swans)","VU"
"112635","Melanitta stejnegeri","Siberian Scoter","Anatidae (Ducks, Geese, Swans)","LC"
"32254","Melanitta deglandi","White-winged Scoter","Anatidae (Ducks, Geese, Swans)","LC"
"112634","Melanitta nigra","Common Scoter","Anatidae (Ducks, Geese, Swans)","LC"
"31681","Melanitta americana","Black Scoter","Anatidae (Ducks, Geese, Swans)","NT"
"496","Bucephala albeola","Bufflehead","Anatidae (Ducks, Geese, Swans)","LC"
"494","Bucephala clangula","Common Goldeneye","Anatidae (Ducks, Geese, Swans)","LC"
"495","Bucephala islandica","Barrow's Goldeneye","Anatidae (Ducks, Geese, Swans)","LC"
"497","Mergellus albellus","Smew","Anatidae (Ducks, Geese, Swans)","LC"
"498","Lophodytes cucullatus","Hooded Merganser","Anatidae (Ducks, Geese, Swans)","LC"
"502","Mergus merganser","Goosander","Anatidae (Ducks, Geese, Swans)","LC"
"501","Mergus squamatus","Scaly-sided Merganser","Anatidae (Ducks, Geese, Swans)","EN"
"500","Mergus serrator","Red-breasted Merganser","Anatidae (Ducks, Geese, Swans)","LC"
"503","Mergus australis","Auckland Merganser","Anatidae (Ducks, Geese, Swans)","EX"
"499","Mergus octosetaceus","Brazilian Merganser","Anatidae (Ducks, Geese, Swans)","CR"
"489","Histrionicus histrionicus","Harlequin Duck","Anatidae (Ducks, Geese, Swans)","LC"
"395","Neochen jubata","Orinoco Goose","Anatidae (Ducks, Geese, Swans)","NT"
"390","Chloephaga melanoptera","Andean Goose","Anatidae (Ducks, Geese, Swans)","LC"
"393","Chloephaga poliocephala","Ashy-headed Goose","Anatidae (Ducks, Geese, Swans)","LC"
"403","Radjah radjah","Radjah Shelduck","Anatidae (Ducks, Geese, Swans)","LC"
"396","Alopochen aegyptiaca","Egyptian Goose","Anatidae (Ducks, Geese, Swans)","LC"
"30071","Alopochen mauritiana","Mauritius Shelduck","Anatidae (Ducks, Geese, Swans)","EX"
"30240","Alopochen kervazoi","Reunion Shelduck","Anatidae (Ducks, Geese, Swans)","EX"
"402","Tadorna tadorna","Common Shelduck","Anatidae (Ducks, Geese, Swans)","LC"
"397","Tadorna ferruginea","Ruddy Shelduck","Anatidae (Ducks, Geese, Swans)","LC"
"398","Tadorna cana","South African Shelduck","Anatidae (Ducks, Geese, Swans)","LC"
"399","Tadorna tadornoides","Australian Shelduck","Anatidae (Ducks, Geese, Swans)","LC"
"400","Tadorna variegata","Paradise Shelduck","Anatidae (Ducks, Geese, Swans)","LC"
"401","Tadorna cristata","Crested Shelduck","Anatidae (Ducks, Geese, Swans)","CR"
"408","Plectropterus gambensis","Spur-winged Goose","Anatidae (Ducks, Geese, Swans)","LC"
"409","Cairina moschata","Muscovy Duck","Anatidae (Ducks, Geese, Swans)","LC"
"9857","Sarkidiornis sylvicola","American Comb Duck","Anatidae (Ducks, Geese, Swans)","LC"
"1016940","Sarkidiornis melanotos","African Comb Duck","Anatidae (Ducks, Geese, Swans)","LC"
"415","Nettapus auritus","African Pygmy-goose","Anatidae (Ducks, Geese, Swans)","LC"
"414","Nettapus coromandelianus","Cotton Pygmy-goose","Anatidae (Ducks, Geese, Swans)","LC"
"413","Nettapus pulchellus","Green Pygmy-goose","Anatidae (Ducks, Geese, Swans)","LC"
"416","Callonetta leucophrys","Ringed Teal","Anatidae (Ducks, Geese, Swans)","LC"
"417","Aix sponsa","Wood Duck","Anatidae (Ducks, Geese, Swans)","LC"
"418","Aix galericulata","Mandarin Duck","Anatidae (Ducks, Geese, Swans)","LC"
"419","Chenonetta jubata","Maned Duck","Anatidae (Ducks, Geese, Swans)","LC"
"422","Hymenolaimus malacorhynchos","Blue Duck","Anatidae (Ducks, Geese, Swans)","EN"
"421","Merganetta armata","Torrent Duck","Anatidae (Ducks, Geese, Swans)","LC"
"411","Pteronetta hartlaubii","Hartlaub's Duck","Anatidae (Ducks, Geese, Swans)","LC"
"389","Cyanochen cyanoptera","Blue-winged Goose","Anatidae (Ducks, Geese, Swans)","VU"
"467","Marmaronetta angustirostris","Marbled Teal","Anatidae (Ducks, Geese, Swans)","VU"
"410","Asarcornis scutulata","White-winged Duck","Anatidae (Ducks, Geese, Swans)","EN"
"469","Netta rufina","Red-crested Pochard","Anatidae (Ducks, Geese, Swans)","LC"
"470","Netta peposaca","Rosy-billed Pochard","Anatidae (Ducks, Geese, Swans)","LC"
"471","Netta erythrophthalma","Southern Pochard","Anatidae (Ducks, Geese, Swans)","LC"
"472","Aythya ferina","Common Pochard","Anatidae (Ducks, Geese, Swans)","VU"
"474","Aythya americana","Redhead","Anatidae (Ducks, Geese, Swans)","LC"
"473","Aythya valisineria","Canvasback","Anatidae (Ducks, Geese, Swans)","LC"
"479","Aythya australis","Hardhead","Anatidae (Ducks, Geese, Swans)","LC"
"477","Aythya innotata","Madagascar Pochard","Anatidae (Ducks, Geese, Swans)","CR"
"478","Aythya baeri","Baer's Pochard","Anatidae (Ducks, Geese, Swans)","CR"
"476","Aythya nyroca","Ferruginous Duck","Anatidae (Ducks, Geese, Swans)","NT"
"481","Aythya novaeseelandiae","New Zealand Scaup","Anatidae (Ducks, Geese, Swans)","LC"
"475","Aythya collaris","Ring-necked Duck","Anatidae (Ducks, Geese, Swans)","LC"
"480","Aythya fuligula","Tufted Duck","Anatidae (Ducks, Geese, Swans)","LC"
"482","Aythya marila","Greater Scaup","Anatidae (Ducks, Geese, Swans)","LC"
"483","Aythya affinis","Lesser Scaup","Anatidae (Ducks, Geese, Swans)","LC"
"468","Rhodonessa caryophyllacea","Pink-headed Duck","Anatidae (Ducks, Geese, Swans)","CR"
"423","Salvadorina waigiuensis","Salvadori's Teal","Anatidae (Ducks, Geese, Swans)","VU"
"407","Tachyeres patachonicus","Flying Steamerduck","Anatidae (Ducks, Geese, Swans)","LC"
"424","Lophonetta specularioides","Crested Duck","Anatidae (Ducks, Geese, Swans)","LC"
"425","Speculanas specularis","Spectacled Duck","Anatidae (Ducks, Geese, Swans)","NT"
"420","Amazonetta brasiliensis","Brazilian Teal","Anatidae (Ducks, Geese, Swans)","LC"
"460","Spatula querquedula","Garganey","Anatidae (Ducks, Geese, Swans)","LC"
"465","Spatula hottentota","Spotted Teal","Anatidae (Ducks, Geese, Swans)","LC"
"463","Spatula puna","Puna Teal","Anatidae (Ducks, Geese, Swans)","LC"
"464","Spatula versicolor","Silver Teal","Anatidae (Ducks, Geese, Swans)","LC"
"446","Spatula platalea","Red Shoveler","Anatidae (Ducks, Geese, Swans)","LC"
"445","Spatula smithii","Cape Shoveler","Anatidae (Ducks, Geese, Swans)","LC"
"447","Spatula rhynchotis","Australian Shoveler","Anatidae (Ducks, Geese, Swans)","LC"
"448","Spatula clypeata","Northern Shoveler","Anatidae (Ducks, Geese, Swans)","LC"
"444","Spatula cyanoptera","Cinnamon Teal","Anatidae (Ducks, Geese, Swans)","LC"
"443","Spatula discors","Blue-winged Teal","Anatidae (Ducks, Geese, Swans)","LC"
"461","Sibirionetta formosa","Baikal Teal","Anatidae (Ducks, Geese, Swans)","LC"
"428","Mareca falcata","Falcated Duck","Anatidae (Ducks, Geese, Swans)","NT"
"427","Mareca strepera","Gadwall","Anatidae (Ducks, Geese, Swans)","LC"
"429","Mareca penelope","Eurasian Wigeon","Anatidae (Ducks, Geese, Swans)","LC"
"430","Mareca americana","American Wigeon","Anatidae (Ducks, Geese, Swans)","LC"
"431","Mareca sibilatrix","Chiloe Wigeon","Anatidae (Ducks, Geese, Swans)","LC"
"432","Anas sparsa","African Black Duck","Anatidae (Ducks, Geese, Swans)","LC"
"441","Anas undulata","Yellow-billed Duck","Anatidae (Ducks, Geese, Swans)","LC"
"442","Anas melleri","Meller's Duck","Anatidae (Ducks, Geese, Swans)","EN"
"440","Anas superciliosa","Pacific Black Duck","Anatidae (Ducks, Geese, Swans)","LC"
"439","Anas luzonica","Philippine Duck","Anatidae (Ducks, Geese, Swans)","VU"
"32626","Anas zonorhyncha","Chinese Spot-billed Duck","Anatidae (Ducks, Geese, Swans)","LC"
"32715","Anas poecilorhyncha","Indian Spot-billed Duck","Anatidae (Ducks, Geese, Swans)","LC"
"435","Anas platyrhynchos","Mallard","Anatidae (Ducks, Geese, Swans)","LC"
"433","Anas rubripes","American Black Duck","Anatidae (Ducks, Geese, Swans)","LC"
"434","Anas fulvigula","Mottled Duck","Anatidae (Ducks, Geese, Swans)","LC"
"436","Anas wyvilliana","Hawaiian Duck","Anatidae (Ducks, Geese, Swans)","EN"
"30072","Anas theodori","Mauritius Duck","Anatidae (Ducks, Geese, Swans)","EX"
"1016753","Anas albogularis","Andaman Teal","Anatidae (Ducks, Geese, Swans)","VU"
"1016751","Anas gibberifrons","Sunda Teal","Anatidae (Ducks, Geese, Swans)","NT"
"451","Anas gracilis","Grey Teal","Anatidae (Ducks, Geese, Swans)","LC"
"452","Anas castanea","Chestnut Teal","Anatidae (Ducks, Geese, Swans)","LC"
"30002","Anas chlorotis","Brown Teal","Anatidae (Ducks, Geese, Swans)","NT"
"453","Anas aucklandica","Auckland Teal","Anatidae (Ducks, Geese, Swans)","VU"
"9819","Anas nesiotis","Campbell Teal","Anatidae (Ducks, Geese, Swans)","VU"
"449","Anas bernieri","Madagascar Teal","Anatidae (Ducks, Geese, Swans)","EN"
"426","Anas capensis","Cape Teal","Anatidae (Ducks, Geese, Swans)","LC"
"454","Anas bahamensis","White-cheeked Pintail","Anatidae (Ducks, Geese, Swans)","LC"
"455","Anas erythrorhyncha","Red-billed Teal","Anatidae (Ducks, Geese, Swans)","LC"
"457","Anas acuta","Northern Pintail","Anatidae (Ducks, Geese, Swans)","LC"
"458","Anas eatoni","Southern Pintail","Anatidae (Ducks, Geese, Swans)","VU"
"30073","Anas marecula","Amsterdam Duck","Anatidae (Ducks, Geese, Swans)","EX"
"459","Anas georgica","Yellow-billed Pintail","Anatidae (Ducks, Geese, Swans)","LC"
"462","Anas crecca","Common Teal","Anatidae (Ducks, Geese, Swans)","LC"
"30242","Anas carolinensis","Green-winged Teal","Anatidae (Ducks, Geese, Swans)","LC"
"32528","Anas andium","Andean Teal","Anatidae (Ducks, Geese, Swans)","LC"
"32680","Anas flavirostris","Yellow-billed Teal","Anatidae (Ducks, Geese, Swans)","LC"
"3628","Tachybaptus ruficollis","Little Grebe","Podicipedidae (Grebes)","LC"
"3629","Tachybaptus novaehollandiae","Australasian Grebe","Podicipedidae (Grebes)","LC"
"3631","Tachybaptus pelzelnii","Madagascar Grebe","Podicipedidae (Grebes)","EN"
"3630","Tachybaptus rufolavatus","Alaotra Grebe","Podicipedidae (Grebes)","EX"
"3632","Tachybaptus dominicus","Least Grebe","Podicipedidae (Grebes)","LC"
"3633","Podilymbus podiceps","Pied-billed Grebe","Podicipedidae (Grebes)","LC"
"3634","Podilymbus gigas","Atitlan Grebe","Podicipedidae (Grebes)","EX"
"3626","Rollandia rolland","White-tufted Grebe","Podicipedidae (Grebes)","LC"
"3627","Rollandia microptera","Titicaca Grebe","Podicipedidae (Grebes)","EN"
"3635","Poliocephalus poliocephalus","Hoary-headed Grebe","Podicipedidae (Grebes)","LC"
"3636","Poliocephalus rufopectus","New Zealand Grebe","Podicipedidae (Grebes)","NT"
"3637","Podiceps major","Great Grebe","Podicipedidae (Grebes)","LC"
"3638","Podiceps grisegena","Red-necked Grebe","Podicipedidae (Grebes)","LC"
"3639","Podiceps cristatus","Great Crested Grebe","Podicipedidae (Grebes)","LC"
"3640","Podiceps auritus","Horned Grebe","Podicipedidae (Grebes)","VU"
"3641","Podiceps nigricollis","Black-necked Grebe","Podicipedidae (Grebes)","LC"
"3642","Podiceps andinus","Colombian Grebe","Podicipedidae (Grebes)","EX"
"1017061","Podiceps juninensis","Northern Silvery Grebe","Podicipedidae (Grebes)","NT"
"1017060","Podiceps occipitalis","Southern Silvery Grebe","Podicipedidae (Grebes)","LC"
"3644","Podiceps taczanowskii","Junin Grebe","Podicipedidae (Grebes)","EN"
"3645","Podiceps gallardoi","Hooded Grebe","Podicipedidae (Grebes)","CR"
"3646","Aechmophorus occidentalis","Western Grebe","Podicipedidae (Grebes)","LC"
"3647","Aechmophorus clarkii","Clark's Grebe","Podicipedidae (Grebes)","LC"
"3769","Phoenicopterus roseus","Greater Flamingo","Phoenicopteridae (Flamingos)","LC"
"3770","Phoenicopterus chilensis","Chilean Flamingo","Phoenicopteridae (Flamingos)","NT"
"3771","Phoeniconaias minor","Lesser Flamingo","Phoenicopteridae (Flamingos)","NT"
"3772","Phoenicoparrus andinus","Andean Flamingo","Phoenicopteridae (Flamingos)","VU"
"3773","Phoenicoparrus jamesi","Puna Flamingo","Phoenicopteridae (Flamingos)","NT"
"2758","Eurypyga helias","Sunbittern","Eurypygidae (Sunbittern)","LC"
"2451","Columba eversmanni","Yellow-eyed Pigeon","Columbidae (Pigeons, Doves)","VU"
"2504","Streptopelia decipiens","Mourning Collared-dove","Columbidae (Pigeons, Doves)","LC"
"2508","Streptopelia semitorquata","Red-eyed Dove","Columbidae (Pigeons, Doves)","LC"
"2506","Streptopelia capicola","Ring-necked Dove","Columbidae (Pigeons, Doves)","LC"
"1016946","Spilopelia chinensis","Eastern Spotted Dove","Columbidae (Pigeons, Doves)","LC"
"1016947","Spilopelia suratensis","Western Spotted Dove","Columbidae (Pigeons, Doves)","LC"
"2554","Zenaida macroura","Mourning Dove","Columbidae (Pigeons, Doves)","LC"
"2575","Metriopelia aymara","Golden-spotted Ground-dove","Columbidae (Pigeons, Doves)","LC"
"2576","Uropelia campestris","Long-tailed Ground-dove","Columbidae (Pigeons, Doves)","LC"
"2541","Ocyphaps lophotes","Crested Pigeon","Columbidae (Pigeons, Doves)","LC"
"2547","Geopelia cuneata","Diamond Dove","Columbidae (Pigeons, Doves)","LC"
"2551","Geopelia humeralis","Bar-shouldered Dove","Columbidae (Pigeons, Doves)","LC"
"2528","Turtur abyssinicus","Black-billed Wood-dove","Columbidae (Pigeons, Doves)","LC"
"2634","Treron bicinctus","Orange-breasted Green-pigeon","Columbidae (Pigeons, Doves)","LC"
"2738","Ducula mullerii","Collared Imperial-pigeon","Columbidae (Pigeons, Doves)","LC"
"2962","Pterocles senegallus","Spotted Sandgrouse","Pteroclidae (Sandgrouse)","LC"
"2963","Pterocles gutturalis","Yellow-throated Sandgrouse","Pteroclidae (Sandgrouse)","LC"
"2966","Pterocles personatus","Madagascar Sandgrouse","Pteroclidae (Sandgrouse)","LC"
"2972","Pterocles burchelli","Burchell's Sandgrouse","Pteroclidae (Sandgrouse)","LC"
"2971","Pterocles lichtensteinii","Lichtenstein's Sandgrouse","Pteroclidae (Sandgrouse)","LC"
"1016538","Eurostopodus mystacalis","White-throated Nightjar","Caprimulgidae (Nightjars)","LC"
"2367","Chordeiles minor","Common Nighthawk","Caprimulgidae (Nightjars)","LC"
"30174","Chordeiles rupestris","Sand-colored Nighthawk","Caprimulgidae (Nightjars)","LC"
"2369","Nyctiprogne leucopyga","Band-tailed Nighthawk","Caprimulgidae (Nightjars)","LC"
"2395","Nyctipolus nigrescens","Blackish Nightjar","Caprimulgidae (Nightjars)","LC"
"2371","Nyctidromus albicollis","Pauraque","Caprimulgidae (Nightjars)","LC"
"2440","Eleothreptus anomalus","Sickle-winged Nightjar","Caprimulgidae (Nightjars)","NT"
"2435","Hydropsalis climacocerca","Ladder-tailed Nightjar","Caprimulgidae (Nightjars)","LC"
"2380","Antrostomus cubanensis","Cuban Nightjar","Caprimulgidae (Nightjars)","LC"
"2403","Caprimulgus rufigena","Rufous-cheeked Nightjar","Caprimulgidae (Nightjars)","LC"
"2407","Caprimulgus nubicus","Nubian Nightjar","Caprimulgidae (Nightjars)","LC"
"1016585","Caprimulgus macrurus","Large-tailed Nightjar","Caprimulgidae (Nightjars)","LC"
"2421","Caprimulgus natalensis","Swamp Nightjar","Caprimulgidae (Nightjars)","LC"
"2424","Caprimulgus affinis","Savanna Nightjar","Caprimulgidae (Nightjars)","LC"
"2432","Caprimulgus fossii","Mozambique Nightjar","Caprimulgidae (Nightjars)","LC"
"2434","Caprimulgus vexillarius","Pennant-winged Nightjar","Caprimulgidae (Nightjars)","LC"
"2327","Aegotheles cristatus","Australian Owlet-nightjar","Aegothelidae (Owlet-nightjars)","LC"
