,11.1,10.2,Rank,SP; Extinct (†),English name,Counters,Scientific Name,Authority,Breeding Range,Nonbreeding Range,Code,Comment,breeding_range
5,7.0,7.0,Species,,Common Ostrich,Struthionidae,Struthio camelus,"Linnaeus, 1758","AF : w, c, e, sw",,TAX,See Miller et al. (2011) re genetic structure and phylogeography of ostrich populations.,AF
10,12.0,12.0,Species,,Somali Ostrich,Struthionidae,Struthio molybdophanes,"Reichenow, 1883",AF : Somalia and n Kenya,,AS,Genetic analyses support species recognition of Somali Ostrich and perhaps other subspecies groups (Miller et al. 2011).,AF
15,17.0,17.0,Species,,Greater Rhea,Rheidae,Rhea americana,"(Linnaeus, 1758)",SA : se,,,,SA
21,23.0,23.0,Species,,Lesser Rhea,Rheidae,Rhea pennata,"d'Orbigny, 1837",SA : Southern Cone,,"TAX, ENG",Pterocnemia merged into Rhea (SACC 348); change English name to Lesser Rhea to conform to general usage.,SA
29,31.0,31.0,Species,,Southern Brown Kiwi,Apterygidae,Apteryx australis,"Shaw, 1813",AU : New Zealand,,,,AU
32,34.0,34.0,Species,,North Island Brown Kiwi,Apterygidae,Apteryx mantelli,"Bartlett, AD, 1852",AU : North I. (New Zealand),,,,AU
33,35.0,35.0,Species,,Okarito Kiwi,Apterygidae,Apteryx rowi,"Tennyson, Palma, Robertson, HA, Worthy & Gill, BJ, 2003",AU : w South I. (New Zealand),,,,AU
34,36.0,36.0,Species,,Little Spotted Kiwi,Apterygidae,Apteryx owenii,"Gould, 1847","AU : Kapiti I., South I. (New Zealand)",,,,AU
35,37.0,37.0,Species,,Great Spotted Kiwi,Apterygidae,Apteryx haastii,"Potts, 1872",AU : w South I. (New Zealand),,,,AU
40,42.0,42.0,Species,,Southern Cassowary,Casuariidae,Casuarius casuarius,"(Linnaeus, 1758)","AU : New Guinea, ne Australia and Aru Is.",,,,AU
41,43.0,43.0,Species,,Dwarf Cassowary,Casuariidae,Casuarius bennetti,"Gould, 1857","AU : New Guinea, Yapen I. and New Britain",,,,AU
44,46.0,46.0,Species,,Northern Cassowary,Casuariidae,Casuarius unappendiculatus,"Blyth, 1860","AU : New Guinea, Yapen I. and Salawati I.",,,,AU
46,48.0,48.0,Species,,Emu,Casuariidae,Dromaius novaehollandiae,"(Latham, 1790)",AU : Australia,,,,AU
55,57.0,57.0,Species,,Grey Tinamou,Tinamidae,Tinamus tao,"Temminck, 1815",SA : Amazonia,,,,SA
60,62.0,62.0,Species,,Solitary Tinamou,Tinamidae,Tinamus solitarius,"(Vieillot, 1819)",SA : e Brazil to ne Argentina and e Paraguay,,"TAX, SSP",Treat as monotypic; subspecies pernambucensis is synonymous with the nominate (Raposo do Amaral & Silveira 2004).,SA
61,63.0,63.0,Species,,Black Tinamou,Tinamidae,Tinamus osgoodi,"Conover, 1949",SA : sc Colombia and se Peru,,,,SA
64,66.0,66.0,Species,,Great Tinamou,Tinamidae,Tinamus major,"(Gmelin, JF, 1789)","MA, SA : s Mexico through Amazonia",,,,"MA, SA"
77,79.0,79.0,Species,,White-throated Tinamou,Tinamidae,Tinamus guttatus,"Pelzeln, 1863",SA : Amazonia,,,,SA
79,81.0,81.0,Species,,Highland Tinamou,Tinamidae,Nothocercus bonapartei,"(Gray, GR, 1867)","MA, SA : Costa Rica to Peru",,,,"MA, SA"
85,87.0,87.0,Species,,Tawny-breasted Tinamou,Tinamidae,Nothocercus julius,"(Bonaparte, 1854)",SA : c Colombia and w Venezuela to sc Peru,,,,SA
86,88.0,88.0,Species,,Hooded Tinamou,Tinamidae,Nothocercus nigrocapillus,"(Gray, GR, 1867)",SA : Peru and Bolivia,,,,SA
90,92.0,92.0,Species,,Berlepsch's Tinamou,Tinamidae,Crypturellus berlepschi,"(Rothschild, 1897)",SA : w Colombia and nw Ecuador,,,,SA
91,93.0,93.0,Species,,Cinereous Tinamou,Tinamidae,Crypturellus cinereus,"(Gmelin, JF, 1789)",SA : Amazonia,,,,SA
92,94.0,94.0,Species,,Little Tinamou,Tinamidae,Crypturellus soui,"(Hermann, 1783)","MA, SA : s Mexico to e Brazil",,,,"MA, SA"
107,109.0,109.0,Species,,Tepui Tinamou,Tinamidae,Crypturellus ptaritepui,"Zimmer, JT & Phelps, 1945",SA : Venezuela,,,,SA
108,110.0,110.0,Species,,Brown Tinamou,Tinamidae,Crypturellus obsoletus,"(Temminck, 1815)",SA : Widespread,,,,SA
118,120.0,120.0,Species,,Undulated Tinamou,Tinamidae,Crypturellus undulatus,"(Temminck, 1815)",SA : Amazonia and sc,,,,SA
125,127.0,127.0,Species,,Pale-browed Tinamou,Tinamidae,Crypturellus transfasciatus,"(Sclater, PL & Salvin, 1878)",SA : w Ecuador and nw Peru,,,,SA
126,128.0,128.0,Species,,Brazilian Tinamou,Tinamidae,Crypturellus strigulosus,"(Temminck, 1815)",SA : e Peru and nw Bolivia through s Amazonian Brazil,,,,SA
127,129.0,129.0,Species,,Grey-legged Tinamou,Tinamidae,Crypturellus duidae,"Zimmer, JT, 1938",SA : ec Colombia to s Venezuela,,,,SA
128,130.0,130.0,Species,,Red-legged Tinamou,Tinamidae,Crypturellus erythropus,"(Pelzeln, 1863)",SA : n,,,,SA
136,138.0,138.0,Species,,Yellow-legged Tinamou,Tinamidae,Crypturellus noctivagus,"(Wied-Neuwied, 1820)",SA : e Brazil,,,,SA
139,141.0,141.0,Species,,Black-capped Tinamou,Tinamidae,Crypturellus atrocapillus,"(Tschudi, 1844)",SA : Peru and Bolivia,,,,SA
142,144.0,144.0,Species,,Thicket Tinamou,Tinamidae,Crypturellus cinnamomeus,"(Lesson, PA, 1842)",MA : wc Mexico to Costa Rica,,AS,Crypturellus cinnamomeus is split from C. erythropus (H&M; BLI; AOU 1998).,MA
152,154.0,154.0,Species,,Slaty-breasted Tinamou,Tinamidae,Crypturellus boucardi,"(Sclater, PL, 1860)",MA : s Mexico to Costa Rica,,AS,Crypturellus boucardi is split from C. erythropus (H&M; BLI; AOU 1998).,MA
155,157.0,157.0,Species,,Choco Tinamou,Tinamidae,Crypturellus kerriae,"(Chapman, 1915)","MA, SA : se Panama and nw Colombia",,,,"MA, SA"
156,158.0,158.0,Species,,Variegated Tinamou,Tinamidae,Crypturellus variegatus,"(Gmelin, JF, 1789)",SA : Amazonia and e Brazil,,,,SA
157,159.0,159.0,Species,,Rusty Tinamou,Tinamidae,Crypturellus brevirostris,"(Pelzeln, 1863)","SA : w, ne Amazonia",,,,SA
158,160.0,160.0,Species,,Bartlett's Tinamou,Tinamidae,Crypturellus bartletti,"(Sclater, PL & Salvin, 1873)",SA : w Amazonia,,,,SA
159,161.0,161.0,Species,,Small-billed Tinamou,Tinamidae,Crypturellus parvirostris,"(Wagler, 1827)",SA : se Peru and s Amazonian Brazil to ne Argentina,,,,SA
160,162.0,162.0,Species,,Barred Tinamou,Tinamidae,Crypturellus casiquiare,"(Chapman, 1929)",SA : e Colombia and s Venezuela,,,,SA
161,163.0,163.0,Species,,Tataupa Tinamou,Tinamidae,Crypturellus tataupa,"(Temminck, 1815)","SA : e, se, sc",,,,SA
167,169.0,169.0,Species,,Red-winged Tinamou,Tinamidae,Rhynchotus rufescens,"(Temminck, 1815)","SA : e, se, sc",,,,SA
171,173.0,173.0,Species,,Huayco Tinamou,Tinamidae,Rhynchotus maculicollis,"Gray, GR, 1867",SA : nw Bolivia and nw Argentina,,,,SA
173,175.0,175.0,Species,,Taczanowski's Tinamou,Tinamidae,Nothoprocta taczanowskii,"Sclater, PL & Salvin, 1875",SA : sc Peru,,,,SA
174,176.0,176.0,Species,,Ornate Tinamou,Tinamidae,Nothoprocta ornata,"(Gray, GR, 1867)",SA : Peru to n Chile and nw Argentina,,TAX,Nothoprocta kalinowskii is a synonym of N. ornata (Krabbe & Schulenberg 2005; SACC 246).,SA
