"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"4","Casuarius casuarius","Southern Cassowary","Casuariidae (Cassowaries, Emus)","LC"
"5","Casuarius bennetti","Dwarf Cassowary","Casuariidae (Cassowaries, Emus)","LC"
"6","Casuarius unappendiculatus","Northern Cassowary","Casuariidae (Cassowaries, Emus)","LC"
"111","Aepypodius arfakianus","Wattled Brush-turkey","Megapodiidae (Megapodes)","LC"
"112","Aepypodius bruijnii","Waigeo Brush-turkey","Megapodiidae (Megapodes)","EN"
"113","Talegalla cuvieri","Red-billed Brush-turkey","Megapodiidae (Megapodes)","LC"
"114","Talegalla fuscirostris","Black-billed Brush-turkey","Megapodiidae (Megapodes)","LC"
"115","Talegalla jobiensis","Collared Brush-turkey","Megapodiidae (Megapodes)","LC"
"116","Macrocephalon maleo","Maleo","Megapodiidae (Megapodes)","EN"
"127","Eulipoa wallacei","Moluccan Scrubfowl","Megapodiidae (Megapodes)","VU"
"117","Megapodius nicobariensis","Nicobar Scrubfowl","Megapodiidae (Megapodes)","VU"
"118","Megapodius cumingii","Philippine Scrubfowl","Megapodiidae (Megapodes)","LC"
"119","Megapodius bernsteinii","Sula Scrubfowl","Megapodiidae (Megapodes)","VU"
"31680","Megapodius tenimberensis","Tanimbar Scrubfowl","Megapodiidae (Megapodes)","VU"
"121","Megapodius freycinet","Dusky Scrubfowl","Megapodiidae (Megapodes)","LC"
"30043","Megapodius geelvinkianus","Biak Scrubfowl","Megapodiidae (Megapodes)","VU"
"122","Megapodius decollatus","New Guinea Scrubfowl","Megapodiidae (Megapodes)","LC"
"32273","Megapodius reinwardt","Orange-footed Scrubfowl","Megapodiidae (Megapodes)","LC"
"228","Rollulus rouloul","Crested Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"208","Arborophila torqueola","Hill Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"209","Arborophila rufogularis","Rufous-throated Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"210","Arborophila atrogularis","White-cheeked Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"211","Arborophila crudigularis","Taiwan Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"212","Arborophila mandellii","Chestnut-breasted Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","VU"
"213","Arborophila brunneopectus","Bar-backed Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"214","Arborophila rufipectus","Sichuan Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","EN"
"218","Arborophila gingica","Collared Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"219","Arborophila davidi","Orange-necked Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"220","Arborophila cambodiana","Chestnut-headed Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"32371","Arborophila campbelli","Malay Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"31619","Arborophila rolli","Tan-breasted Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"31043","Arborophila sumatrana","Sumatran Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"215","Arborophila orientalis","White-faced Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","VU"
"216","Arborophila javanica","Chestnut-bellied Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"221","Arborophila rubrirostris","Red-billed Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"217","Arborophila hyperythra","Bornean Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"222","Arborophila ardens","Hainan Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","VU"
"31507","Arborophila chloropus","Green-legged Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"1016794","Arborophila tonkinensis","Tonkin Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"1016787","Arborophila charltonii","Chestnut-necklaced Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","VU"
"1016790","Arborophila graydoni","Sabah Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"1016852","Rhizothera longirostris","Long-billed Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"1016853","Rhizothera dulitensis","Dulit Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","VU"
"193","Melanoperdix niger","Black Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","VU"
"227","Haematortyx sanguiniceps","Crimson-headed Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"226","Caloperdix oculeus","Ferruginous Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"232","Galloperdix spadicea","Red Spurfowl","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"233","Galloperdix lunulata","Painted Spurfowl","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"234","Galloperdix bicalcarata","Sri Lanka Spurfowl","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"285","Pavo cristatus","Indian Peafowl","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"286","Pavo muticus","Green Peafowl","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","EN"
"112638","Argusianus argus","Great Argus","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","VU"
"282","Rheinardia ocellata","Crested Argus","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","EN"
"281","Polyplectron napoleonis","Palawan Peacock-pheasant","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","VU"
"279","Polyplectron malacense","Malay Peacock-pheasant","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","VU"
"280","Polyplectron schleiermacheri","Bornean Peacock-pheasant","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","EN"
"277","Polyplectron germaini","Germain's Peacock-pheasant","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"32404","Polyplectron katsumatae","Hainan Peacock-pheasant","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","EN"
"32657","Polyplectron bicalcaratum","Grey Peacock-pheasant","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"276","Polyplectron inopinatum","Mountain Peacock-pheasant","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","VU"
"275","Polyplectron chalcurum","Bronze-tailed Peacock-pheasant","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"194","Coturnix coturnix","Common Quail","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"195","Coturnix japonica","Japanese Quail","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"198","Coturnix coromandelica","Rain Quail","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"200","Synoicus ypsilophorus","Brown Quail","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"202","Synoicus chinensis","Asian Blue Quail","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"203","Anurophasis monorthonyx","Snow Mountain Quail","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"136","Tetraogallus himalayensis","Himalayan Snowcock","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"134","Tetraogallus tibetanus","Tibetan Snowcock","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
