"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"4","Casuarius casuarius","Southern Cassowary","Casuariidae (Cassowaries, Emus)","LC"
"5","Casuarius bennetti","Dwarf Cassowary","Casuariidae (Cassowaries, Emus)","LC"
"6","Casuarius unappendiculatus","Northern Cassowary","Casuariidae (Cassowaries, Emus)","LC"
"7","Dromaius novaehollandiae","Common Emu","Casuariidae (Cassowaries, Emus)","LC"
"30069","Dromaius minor","King Island Emu","Casuariidae (Cassowaries, Emus)","EX"
"9783","Dromaius baudinianus","Kangaroo Island Emu","Casuariidae (Cassowaries, Emus)","EX"
"10","Apteryx haastii","Great Spotted Kiwi","Apterygidae (Kiwis)","VU"
"9","Apteryx owenii","Little Spotted Kiwi","Apterygidae (Kiwis)","NT"
"1016875","Apteryx mantelli","North Island Brown Kiwi","Apterygidae (Kiwis)","VU"
"8","Apteryx australis","Southern Brown Kiwi","Apterygidae (Kiwis)","VU"
"31791","Apteryx rowi","Okarito Kiwi","Apterygidae (Kiwis)","VU"
"110","Alectura lathami","Australian Brush-turkey","Megapodiidae (Megapodes)","LC"
"111","Aepypodius arfakianus","Wattled Brush-turkey","Megapodiidae (Megapodes)","LC"
"114","Talegalla fuscirostris","Black-billed Brush-turkey","Megapodiidae (Megapodes)","LC"
"115","Talegalla jobiensis","Collared Brush-turkey","Megapodiidae (Megapodes)","LC"
"128","Leipoa ocellata","Malleefowl","Megapodiidae (Megapodes)","VU"
"124","Megapodius layardi","Vanuatu Scrubfowl","Megapodiidae (Megapodes)","VU"
"121","Megapodius freycinet","Dusky Scrubfowl","Megapodiidae (Megapodes)","LC"
"122","Megapodius decollatus","New Guinea Scrubfowl","Megapodiidae (Megapodes)","LC"
"123","Megapodius eremita","Melanesian Scrubfowl","Megapodiidae (Megapodes)","LC"
"32273","Megapodius reinwardt","Orange-footed Scrubfowl","Megapodiidae (Megapodes)","LC"
"196","Coturnix pectoralis","Stubble Quail","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"197","Coturnix novaezelandiae","New Zealand Quail","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","EX"
"200","Synoicus ypsilophorus","Brown Quail","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"202","Synoicus chinensis","Asian Blue Quail","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"346","Anseranas semipalmata","Magpie Goose","Anseranatidae (Magpie Goose)","LC"
"347","Dendrocygna guttata","Spotted Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"348","Dendrocygna eytoni","Plumed Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"350","Dendrocygna arcuata","Wandering Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"362","Oxyura australis","Blue-billed Duck","Anatidae (Ducks, Geese, Swans)","NT"
"363","Biziura lobata","Musk Duck","Anatidae (Ducks, Geese, Swans)","LC"
"466","Malacorhynchus membranaceus","Pink-eared Duck","Anatidae (Ducks, Geese, Swans)","LC"
"365","Stictonetta naevosa","Freckled Duck","Anatidae (Ducks, Geese, Swans)","LC"
"388","Cereopsis novaehollandiae","Cape Barren Goose","Anatidae (Ducks, Geese, Swans)","LC"
"367","Cygnus atratus","Black Swan","Anatidae (Ducks, Geese, Swans)","LC"
"503","Mergus australis","Auckland Merganser","Anatidae (Ducks, Geese, Swans)","EX"
"403","Radjah radjah","Radjah Shelduck","Anatidae (Ducks, Geese, Swans)","LC"
"399","Tadorna tadornoides","Australian Shelduck","Anatidae (Ducks, Geese, Swans)","LC"
"400","Tadorna variegata","Paradise Shelduck","Anatidae (Ducks, Geese, Swans)","LC"
"414","Nettapus coromandelianus","Cotton Pygmy-goose","Anatidae (Ducks, Geese, Swans)","LC"
"413","Nettapus pulchellus","Green Pygmy-goose","Anatidae (Ducks, Geese, Swans)","LC"
"419","Chenonetta jubata","Maned Duck","Anatidae (Ducks, Geese, Swans)","LC"
"1017079","Chenonetta finschi","Finsch's Duck","Anatidae (Ducks, Geese, Swans)","EX"
"422","Hymenolaimus malacorhynchos","Blue Duck","Anatidae (Ducks, Geese, Swans)","EN"
"479","Aythya australis","Hardhead","Anatidae (Ducks, Geese, Swans)","LC"
"481","Aythya novaeseelandiae","New Zealand Scaup","Anatidae (Ducks, Geese, Swans)","LC"
"423","Salvadorina waigiuensis","Salvadori's Teal","Anatidae (Ducks, Geese, Swans)","VU"
"460","Spatula querquedula","Garganey","Anatidae (Ducks, Geese, Swans)","LC"
"447","Spatula rhynchotis","Australian Shoveler","Anatidae (Ducks, Geese, Swans)","LC"
"440","Anas superciliosa","Pacific Black Duck","Anatidae (Ducks, Geese, Swans)","LC"
"451","Anas gracilis","Grey Teal","Anatidae (Ducks, Geese, Swans)","LC"
"452","Anas castanea","Chestnut Teal","Anatidae (Ducks, Geese, Swans)","LC"
"30002","Anas chlorotis","Brown Teal","Anatidae (Ducks, Geese, Swans)","NT"
"453","Anas aucklandica","Auckland Teal","Anatidae (Ducks, Geese, Swans)","VU"
"9819","Anas nesiotis","Campbell Teal","Anatidae (Ducks, Geese, Swans)","VU"
"3628","Tachybaptus ruficollis","Little Grebe","Podicipedidae (Grebes)","LC"
"3629","Tachybaptus novaehollandiae","Australasian Grebe","Podicipedidae (Grebes)","LC"
"3635","Poliocephalus poliocephalus","Hoary-headed Grebe","Podicipedidae (Grebes)","LC"
"3636","Poliocephalus rufopectus","New Zealand Grebe","Podicipedidae (Grebes)","NT"
"3639","Podiceps cristatus","Great Crested Grebe","Podicipedidae (Grebes)","LC"
"3649","Phaethon rubricauda","Red-tailed Tropicbird","Phaethontidae (Tropicbirds)","LC"
"3650","Phaethon lepturus","White-tailed Tropicbird","Phaethontidae (Tropicbirds)","LC"
"2808","Rhynochetos jubatus","Kagu","Rhynochetidae (Kagu)","EN"
"2470","Columba vitiensis","Metallic Pigeon","Columbidae (Pigeons, Doves)","LC"
"2471","Columba leucomela","White-headed Pigeon","Columbidae (Pigeons, Doves)","LC"
"2474","Columba pallidiceps","Yellow-legged Pigeon","Columbidae (Pigeons, Doves)","VU"
"2517","Macropygia amboinensis","Slender-billed Cuckoo-dove","Columbidae (Pigeons, Doves)","LC"
"2519","Macropygia phasianella","Brown Cuckoo-dove","Columbidae (Pigeons, Doves)","LC"
"2521","Macropygia nigrirostris","Black-billed Cuckoo-dove","Columbidae (Pigeons, Doves)","LC"
"2522","Macropygia mackinlayi","Mackinlay's Cuckoo-dove","Columbidae (Pigeons, Doves)","LC"
"2524","Reinwardtoena browni","Pied Cuckoo-dove","Columbidae (Pigeons, Doves)","NT"
"2525","Reinwardtoena crassirostris","Crested Cuckoo-dove","Columbidae (Pigeons, Doves)","NT"
"2536","Henicophaps albifrons","New Guinea Bronzewing","Columbidae (Pigeons, Doves)","LC"
"2537","Henicophaps foersteri","New Britain Bronzewing","Columbidae (Pigeons, Doves)","VU"
"2610","Gallicolumba rufigula","Cinnamon Ground-dove","Columbidae (Pigeons, Doves)","LC"
"2612","Alopecoenas jobiensis","White-breasted Ground-dove","Columbidae (Pigeons, Doves)","LC"
"1016944","Alopecoenas beccarii","Western Bronze Ground-dove","Columbidae (Pigeons, Doves)","LC"
"1016945","Alopecoenas johannae","Eastern Bronze Ground-dove","Columbidae (Pigeons, Doves)","LC"
"2617","Alopecoenas sanctaecrucis","Santa Cruz Ground-dove","Columbidae (Pigeons, Doves)","EN"
"2619","Alopecoenas salamonis","Thick-billed Ground-dove","Columbidae (Pigeons, Doves)","EX"
"2618","Alopecoenas ferrugineus","Tanna Ground-dove","Columbidae (Pigeons, Doves)","EX"
"2552","Leucosarcia melanoleuca","Wonga Pigeon","Columbidae (Pigeons, Doves)","LC"
