"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"3649","Phaethon rubricauda","Red-tailed Tropicbird","Phaethontidae (Tropicbirds)","LC"
"3650","Phaethon lepturus","White-tailed Tropicbird","Phaethontidae (Tropicbirds)","LC"
"3848","Aptenodytes patagonicus","King Penguin","Spheniscidae (Penguins)","LC"
"3857","Eudyptes chrysolophus","Macaroni Penguin","Spheniscidae (Penguins)","VU"
"3952","Diomedea exulans","Wandering Albatross","Diomedeidae (Albatrosses)","VU"
"30004","Diomedea antipodensis","Antipodean Albatross","Diomedeidae (Albatrosses)","EN"
"3953","Diomedea amsterdamensis","Amsterdam Albatross","Diomedeidae (Albatrosses)","EN"
"30013","Diomedea dabbenena","Tristan Albatross","Diomedeidae (Albatrosses)","CR"
"3967","Phoebetria fusca","Sooty Albatross","Diomedeidae (Albatrosses)","EN"
"3971","Phoebetria palpebrata","Light-mantled Albatross","Diomedeidae (Albatrosses)","NT"
"3955","Phoebastria irrorata","Waved Albatross","Diomedeidae (Albatrosses)","CR"
"3957","Phoebastria nigripes","Black-footed Albatross","Diomedeidae (Albatrosses)","NT"
"3958","Phoebastria immutabilis","Laysan Albatross","Diomedeidae (Albatrosses)","NT"
"3965","Thalassarche chlororhynchos","Atlantic Yellow-nosed Albatross","Diomedeidae (Albatrosses)","EN"
"30015","Thalassarche carteri","Indian Yellow-nosed Albatross","Diomedeidae (Albatrosses)","EN"
"3964","Thalassarche chrysostoma","Grey-headed Albatross","Diomedeidae (Albatrosses)","EN"
"3959","Thalassarche melanophris","Black-browed Albatross","Diomedeidae (Albatrosses)","LC"
"30006","Thalassarche bulleri","Buller's Albatross","Diomedeidae (Albatrosses)","NT"
"3871","Macronectes halli","Northern Giant Petrel","Procellariidae (Petrels, Shearwaters)","LC"
"3870","Macronectes giganteus","Southern Giant Petrel","Procellariidae (Petrels, Shearwaters)","LC"
"3887","Pterodroma leucoptera","White-winged Petrel","Procellariidae (Petrels, Shearwaters)","VU"
"3888","Pterodroma cookii","Cook's Petrel","Procellariidae (Petrels, Shearwaters)","VU"
"3889","Pterodroma pycrofti","Pycroft's Petrel","Procellariidae (Petrels, Shearwaters)","VU"
"3882","Pterodroma axillaris","Chatham Petrel","Procellariidae (Petrels, Shearwaters)","VU"
"3902","Pterodroma solandri","Providence Petrel","Procellariidae (Petrels, Shearwaters)","VU"
"3894","Pterodroma arminjoniana","Trindade Petrel","Procellariidae (Petrels, Shearwaters)","VU"
"3900","Pterodroma baraui","Barau's Petrel","Procellariidae (Petrels, Shearwaters)","EN"
"3906","Pterodroma madeira","Zino's Petrel","Procellariidae (Petrels, Shearwaters)","EN"
"3925","Procellaria cinerea","Grey Petrel","Procellariidae (Petrels, Shearwaters)","NT"
"3922","Procellaria aequinoctialis","White-chinned Petrel","Procellariidae (Petrels, Shearwaters)","VU"
"30027","Procellaria conspicillata","Spectacled Petrel","Procellariidae (Petrels, Shearwaters)","VU"
"3923","Procellaria parkinsoni","Black Petrel","Procellariidae (Petrels, Shearwaters)","VU"
"3928","Ardenna pacifica","Wedge-tailed Shearwater","Procellariidae (Petrels, Shearwaters)","LC"
"3934","Ardenna tenuirostris","Short-tailed Shearwater","Procellariidae (Petrels, Shearwaters)","LC"
"3933","Ardenna grisea","Sooty Shearwater","Procellariidae (Petrels, Shearwaters)","NT"
"3932","Ardenna gravis","Great Shearwater","Procellariidae (Petrels, Shearwaters)","LC"
"3927","Calonectris leucomelas","Streaked Shearwater","Procellariidae (Petrels, Shearwaters)","NT"
"3845","Fregata minor","Great Frigatebird","Fregatidae (Frigatebirds)","LC"
