"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"14","Tinamus major","Great Tinamou","Tinamidae (Tinamous)","NT"
"21","Crypturellus soui","Little Tinamou","Tinamidae (Tinamous)","LC"
"1016978","Crypturellus occidentalis","Western Thicket Tinamou","Tinamidae (Tinamous)","LC"
"1016977","Crypturellus cinnamomeus","Eastern Thicket Tinamou","Tinamidae (Tinamous)","LC"
"28","Crypturellus boucardi","Slaty-breasted Tinamou","Tinamidae (Tinamous)","LC"
"94","Penelopina nigra","Highland Guan","Cracidae (Guans, Chachalacas, Curassows)","VU"
"79","Penelope purpurascens","Crested Guan","Cracidae (Guans, Chachalacas, Curassows)","LC"
"95","Oreophasis derbianus","Horned Guan","Cracidae (Guans, Chachalacas, Curassows)","EN"
"60","Ortalis vetula","Plain Chachalaca","Cracidae (Guans, Chachalacas, Curassows)","LC"
"65","Ortalis wagleri","Rufous-bellied Chachalaca","Cracidae (Guans, Chachalacas, Curassows)","LC"
"66","Ortalis poliocephala","West Mexican Chachalaca","Cracidae (Guans, Chachalacas, Curassows)","LC"
"68","Ortalis leucogastra","White-bellied Chachalaca","Cracidae (Guans, Chachalacas, Curassows)","LC"
"103","Crax rubra","Great Curassow","Cracidae (Guans, Chachalacas, Curassows)","VU"
"320","Philortyx fasciatus","Banded Quail","Odontophoridae (New World quails)","LC"
"315","Oreortyx pictus","Mountain Quail","Odontophoridae (New World quails)","LC"
"30131","Colinus virginianus","Northern Bobwhite","Odontophoridae (New World quails)","NT"
"322","Colinus nigrogularis","Black-throated Bobwhite","Odontophoridae (New World quails)","LC"
"316","Callipepla squamata","Scaled Quail","Odontophoridae (New World quails)","LC"
"317","Callipepla douglasii","Elegant Quail","Odontophoridae (New World quails)","LC"
"319","Callipepla gambelii","Gambel's Quail","Odontophoridae (New World quails)","LC"
"318","Callipepla californica","California Quail","Odontophoridae (New World quails)","LC"
"312","Dendrortyx barbatus","Bearded Wood-partridge","Odontophoridae (New World quails)","VU"
"313","Dendrortyx macroura","Long-tailed Wood-partridge","Odontophoridae (New World quails)","LC"
"314","Dendrortyx leucophrys","Buffy-crowned Wood-partridge","Odontophoridae (New World quails)","LC"
"338","Odontophorus guttatus","Spotted Wood-quail","Odontophoridae (New World quails)","LC"
"339","Dactylortyx thoracicus","Singing Quail","Odontophoridae (New World quails)","LC"
"1016846","Cyrtonyx montezumae","Montezuma Quail","Odontophoridae (New World quails)","LC"
"9858","Cyrtonyx sallei","Spot-breasted Quail","Odontophoridae (New World quails)","NT"
"341","Cyrtonyx ocellatus","Ocellated Quail","Odontophoridae (New World quails)","VU"
"304","Meleagris gallopavo","Wild Turkey","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"305","Meleagris ocellata","Ocellated Turkey","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"299","Bonasa umbellus","Ruffed Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"290","Lagopus lagopus","Willow Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"291","Lagopus muta","Rock Ptarmigan","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"292","Lagopus leucura","White-tailed Ptarmigan","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"32361","Dendragapus obscurus","Dusky Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"32362","Dendragapus fuliginosus","Sooty Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"1016976","Falcipennis canadensis","Spruce Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"1016975","Falcipennis franklinii","Franklin's Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"300","Centrocercus urophasianus","Sage Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"30035","Centrocercus minimus","Gunnison Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","EN"
"301","Tympanuchus phasianellus","Sharp-tailed Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"302","Tympanuchus cupido","Greater Prairie-chicken","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"303","Tympanuchus pallidicinctus","Lesser Prairie-chicken","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","VU"
"354","Dendrocygna autumnalis","Black-bellied Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"349","Dendrocygna bicolor","Fulvous Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"356","Nomonyx dominicus","Masked Duck","Anatidae (Ducks, Geese, Swans)","LC"
"1016821","Oxyura jamaicensis","Ruddy Duck","Anatidae (Ducks, Geese, Swans)","LC"
"370","Cygnus buccinator","Trumpeter Swan","Anatidae (Ducks, Geese, Swans)","LC"
"369","Cygnus cygnus","Whooper Swan","Anatidae (Ducks, Geese, Swans)","LC"
"371","Cygnus columbianus","Tundra Swan","Anatidae (Ducks, Geese, Swans)","LC"
"386","Branta bernicla","Brent Goose","Anatidae (Ducks, Geese, Swans)","LC"
"32141","Branta hutchinsii","Cackling Goose","Anatidae (Ducks, Geese, Swans)","LC"
"384","Branta canadensis","Canada Goose","Anatidae (Ducks, Geese, Swans)","LC"
"383","Branta sandvicensis","Hawaiian Goose","Anatidae (Ducks, Geese, Swans)","VU"
"382","Anser canagicus","Emperor Goose","Anatidae (Ducks, Geese, Swans)","NT"
"380","Anser caerulescens","Snow Goose","Anatidae (Ducks, Geese, Swans)","LC"
"381","Anser rossii","Ross's Goose","Anatidae (Ducks, Geese, Swans)","LC"
"376","Anser albifrons","Greater White-fronted Goose","Anatidae (Ducks, Geese, Swans)","LC"
"490","Clangula hyemalis","Long-tailed Duck","Anatidae (Ducks, Geese, Swans)","VU"
"486","Somateria fischeri","Spectacled Eider","Anatidae (Ducks, Geese, Swans)","NT"
"485","Somateria spectabilis","King Eider","Anatidae (Ducks, Geese, Swans)","LC"
"484","Somateria mollissima","Common Eider","Anatidae (Ducks, Geese, Swans)","NT"
"487","Polysticta stelleri","Steller's Eider","Anatidae (Ducks, Geese, Swans)","VU"
"492","Melanitta perspicillata","Surf Scoter","Anatidae (Ducks, Geese, Swans)","LC"
"32254","Melanitta deglandi","White-winged Scoter","Anatidae (Ducks, Geese, Swans)","LC"
"31681","Melanitta americana","Black Scoter","Anatidae (Ducks, Geese, Swans)","NT"
"496","Bucephala albeola","Bufflehead","Anatidae (Ducks, Geese, Swans)","LC"
"494","Bucephala clangula","Common Goldeneye","Anatidae (Ducks, Geese, Swans)","LC"
"495","Bucephala islandica","Barrow's Goldeneye","Anatidae (Ducks, Geese, Swans)","LC"
"498","Lophodytes cucullatus","Hooded Merganser","Anatidae (Ducks, Geese, Swans)","LC"
"502","Mergus merganser","Goosander","Anatidae (Ducks, Geese, Swans)","LC"
