"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"125","Megapodius laperouse","Micronesian Scrubfowl","Megapodiidae (Megapodes)","EN"
"126","Megapodius pritchardii","Tongan Scrubfowl","Megapodiidae (Megapodes)","VU"
"350","Dendrocygna arcuata","Wandering Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"472","Aythya ferina","Common Pochard","Anatidae (Ducks, Geese, Swans)","VU"
"480","Aythya fuligula","Tufted Duck","Anatidae (Ducks, Geese, Swans)","LC"
"482","Aythya marila","Greater Scaup","Anatidae (Ducks, Geese, Swans)","LC"
"460","Spatula querquedula","Garganey","Anatidae (Ducks, Geese, Swans)","LC"
"448","Spatula clypeata","Northern Shoveler","Anatidae (Ducks, Geese, Swans)","LC"
"427","Mareca strepera","Gadwall","Anatidae (Ducks, Geese, Swans)","LC"
"429","Mareca penelope","Eurasian Wigeon","Anatidae (Ducks, Geese, Swans)","LC"
"430","Mareca americana","American Wigeon","Anatidae (Ducks, Geese, Swans)","LC"
"440","Anas superciliosa","Pacific Black Duck","Anatidae (Ducks, Geese, Swans)","LC"
"435","Anas platyrhynchos","Mallard","Anatidae (Ducks, Geese, Swans)","LC"
"457","Anas acuta","Northern Pintail","Anatidae (Ducks, Geese, Swans)","LC"
"462","Anas crecca","Common Teal","Anatidae (Ducks, Geese, Swans)","LC"
"3649","Phaethon rubricauda","Red-tailed Tropicbird","Phaethontidae (Tropicbirds)","LC"
"3650","Phaethon lepturus","White-tailed Tropicbird","Phaethontidae (Tropicbirds)","LC"
"2470","Columba vitiensis","Metallic Pigeon","Columbidae (Pigeons, Doves)","LC"
"2475","Patagioenas leucocephala","White-crowned Pigeon","Columbidae (Pigeons, Doves)","NT"
"2477","Patagioenas squamosa","Scaly-naped Pigeon","Columbidae (Pigeons, Doves)","LC"
"2562","Columbina passerina","Common Ground-dove","Columbidae (Pigeons, Doves)","LC"
"2613","Alopecoenas kubaryi","Caroline Ground-dove","Columbidae (Pigeons, Doves)","EN"
"2615","Alopecoenas xanthonurus","White-throated Ground-dove","Columbidae (Pigeons, Doves)","NT"
"2614","Alopecoenas erythropterus","Polynesian Ground-dove","Columbidae (Pigeons, Doves)","CR"
"2620","Alopecoenas rubescens","Marquesas Ground-dove","Columbidae (Pigeons, Doves)","EN"
"2622","Alopecoenas canifrons","Palau Ground-dove","Columbidae (Pigeons, Doves)","EN"
"2616","Alopecoenas stairi","Shy Ground-dove","Columbidae (Pigeons, Doves)","VU"
"2604","Caloenas nicobarica","Nicobar Pigeon","Columbidae (Pigeons, Doves)","NT"
"2757","Didunculus strigirostris","Tooth-billed Pigeon","Columbidae (Pigeons, Doves)","CR"
"2718","Ducula pacifica","Pacific Imperial-pigeon","Columbidae (Pigeons, Doves)","LC"
"2719","Ducula oceanica","Micronesian Imperial-pigeon","Columbidae (Pigeons, Doves)","VU"
"2720","Ducula aurorae","Polynesian Imperial-pigeon","Columbidae (Pigeons, Doves)","EN"
"2721","Ducula galeata","Nukuhiva Imperial-pigeon","Columbidae (Pigeons, Doves)","EN"
"2732","Ducula latrans","Barking Imperial-pigeon","Columbidae (Pigeons, Doves)","LC"
"2702","Chrysoena victor","Orange Dove","Columbidae (Pigeons, Doves)","LC"
"2703","Chrysoena luteovirens","Golden Dove","Columbidae (Pigeons, Doves)","LC"
"2704","Chrysoena viridis","Whistling Dove","Columbidae (Pigeons, Doves)","NT"
"2689","Ptilinopus mercierii","Red-moustached Fruit-dove","Columbidae (Pigeons, Doves)","EX"
"2690","Ptilinopus dupetithouarsii","White-capped Fruit-dove","Columbidae (Pigeons, Doves)","LC"
"2682","Ptilinopus pelewensis","Palau Fruit-dove","Columbidae (Pigeons, Doves)","LC"
"2678","Ptilinopus roseicapilla","Mariana Fruit-dove","Columbidae (Pigeons, Doves)","EN"
"1016857","Ptilinopus ponapensis","Pohnpei Fruit-dove","Columbidae (Pigeons, Doves)","LC"
"1016813","Ptilinopus hernsheimi","Kosrae Fruit-dove","Columbidae (Pigeons, Doves)","LC"
"1016811","Ptilinopus porphyraceus","Tongan Fruit-dove","Columbidae (Pigeons, Doves)","LC"
"1016856","Ptilinopus fasciatus","Samoan Fruit-dove","Columbidae (Pigeons, Doves)","LC"
"2673","Ptilinopus perousii","Many-coloured Fruit-dove","Columbidae (Pigeons, Doves)","LC"
"2684","Ptilinopus huttoni","Rapa Fruit-dove","Columbidae (Pigeons, Doves)","CR"
"2688","Ptilinopus insularis","Henderson Fruit-dove","Columbidae (Pigeons, Doves)","VU"
"2687","Ptilinopus chalcurus","Makatea Fruit-dove","Columbidae (Pigeons, Doves)","VU"
"2686","Ptilinopus coralensis","Atoll Fruit-dove","Columbidae (Pigeons, Doves)","NT"
"1016952","Ptilinopus chrysogaster","Raiatea Fruit-dove","Columbidae (Pigeons, Doves)","EN"
"2683","Ptilinopus rarotongensis","Rarotonga Fruit-dove","Columbidae (Pigeons, Doves)","VU"
"1016951","Ptilinopus purpuratus","Grey-green Fruit-dove","Columbidae (Pigeons, Doves)","LC"
"1016559","Caprimulgus phalaena","Palau Nightjar","Caprimulgidae (Nightjars)","NT"
"1730","Aerodramus sawtelli","Atiu Swiftlet","Apodidae (Swifts)","VU"
"1016957","Aerodramus leucophaeus","Polynesian Swiftlet","Apodidae (Swifts)","LC"
"1729","Aerodramus inquietus","Caroline Swiftlet","Apodidae (Swifts)","LC"
"1728","Aerodramus pelewensis","Palau Swiftlet","Apodidae (Swifts)","LC"
"30057","Aerodramus bartschi","Mariana Swiftlet","Apodidae (Swifts)","EN"
"1716","Aerodramus spodiopygius","White-rumped Swiftlet","Apodidae (Swifts)","LC"
"1785","Apus pacificus","Pacific Swift","Apodidae (Swifts)","LC"
"1321","Crotophaga ani","Smooth-billed Ani","Cuculidae (Cuckoos)","LC"
"1304","Coccyzus americanus","Yellow-billed Cuckoo","Cuculidae (Cuckoos)","LC"
"1244","Urodynamis taitensis","Long-tailed Koel","Cuculidae (Cuckoos)","LC"
"1221","Cacomantis flabelliformis","Fan-tailed Cuckoo","Cuculidae (Cuckoos)","LC"
"1016984","Cuculus saturatus","Oriental Cuckoo","Cuculidae (Cuckoos)","LC"
"2832","Rallina eurizonoides","Slaty-legged Crake","Rallidae (Rails, Gallinules, Coots)","LC"
"30091","Hypotaenidia poeciloptera","Bar-winged Rail","Rallidae (Rails, Gallinules, Coots)","EX"
"2857","Hypotaenidia owstoni","Guam Rail","Rallidae (Rails, Gallinules, Coots)","CR"
