"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"2","Rhea americana","Greater Rhea","Rheidae (Rheas)","NT"
"1016842","Rhea pennata","Lesser Rhea","Rheidae (Rheas)","LC"
"1016844","Rhea tarapacensis","Puna Rhea","Rheidae (Rheas)","NT"
"17","Nothocercus julius","Tawny-breasted Tinamou","Tinamidae (Tinamous)","LC"
"16","Nothocercus bonapartei","Highland Tinamou","Tinamidae (Tinamous)","LC"
"18","Nothocercus nigrocapillus","Hooded Tinamou","Tinamidae (Tinamous)","LC"
"11","Tinamus tao","Grey Tinamou","Tinamidae (Tinamous)","VU"
"12","Tinamus solitarius","Solitary Tinamou","Tinamidae (Tinamous)","NT"
"13","Tinamus osgoodi","Black Tinamou","Tinamidae (Tinamous)","VU"
"14","Tinamus major","Great Tinamou","Tinamidae (Tinamous)","NT"
"15","Tinamus guttatus","White-throated Tinamou","Tinamidae (Tinamous)","NT"
"19","Crypturellus berlepschi","Berlepsch's Tinamou","Tinamidae (Tinamous)","LC"
"20","Crypturellus cinereus","Cinereous Tinamou","Tinamidae (Tinamous)","LC"
"22","Crypturellus ptaritepui","Tepui Tinamou","Tinamidae (Tinamous)","LC"
"21","Crypturellus soui","Little Tinamou","Tinamidae (Tinamous)","LC"
"23","Crypturellus obsoletus","Brown Tinamou","Tinamidae (Tinamous)","LC"
"25","Crypturellus undulatus","Undulated Tinamou","Tinamidae (Tinamous)","LC"
"27","Crypturellus strigulosus","Brazilian Tinamou","Tinamidae (Tinamous)","LC"
"33","Crypturellus duidae","Grey-legged Tinamou","Tinamidae (Tinamous)","LC"
"31001","Crypturellus erythropus","Red-legged Tinamou","Tinamidae (Tinamous)","LC"
"34","Crypturellus noctivagus","Yellow-legged Tinamou","Tinamidae (Tinamous)","NT"
"35","Crypturellus atrocapillus","Black-capped Tinamou","Tinamidae (Tinamous)","LC"
"26","Crypturellus transfasciatus","Pale-browed Tinamou","Tinamidae (Tinamous)","NT"
"28","Crypturellus boucardi","Slaty-breasted Tinamou","Tinamidae (Tinamous)","LC"
"29","Crypturellus kerriae","Choco Tinamou","Tinamidae (Tinamous)","VU"
"36","Crypturellus variegatus","Variegated Tinamou","Tinamidae (Tinamous)","LC"
"37","Crypturellus brevirostris","Rusty Tinamou","Tinamidae (Tinamous)","LC"
"38","Crypturellus bartletti","Bartlett's Tinamou","Tinamidae (Tinamous)","LC"
"40","Crypturellus casiquiare","Barred Tinamou","Tinamidae (Tinamous)","LC"
"39","Crypturellus parvirostris","Small-billed Tinamou","Tinamidae (Tinamous)","LC"
"41","Crypturellus tataupa","Tataupa Tinamou","Tinamidae (Tinamous)","LC"
"32199","Rhynchotus rufescens","Red-winged Tinamou","Tinamidae (Tinamous)","LC"
"31983","Rhynchotus maculicollis","Huayco Tinamou","Tinamidae (Tinamous)","LC"
"43","Nothoprocta taczanowskii","Taczanowski's Tinamou","Tinamidae (Tinamous)","VU"
"45","Nothoprocta ornata","Ornate Tinamou","Tinamidae (Tinamous)","LC"
"48","Nothoprocta perdicaria","Chilean Tinamou","Tinamidae (Tinamous)","LC"
"47","Nothoprocta cinerascens","Brushland Tinamou","Tinamidae (Tinamous)","LC"
"46","Nothoprocta pentlandii","Andean Tinamou","Tinamidae (Tinamous)","LC"
"49","Nothoprocta curvirostris","Curve-billed Tinamou","Tinamidae (Tinamous)","LC"
"54","Nothura boraquira","White-bellied Nothura","Tinamidae (Tinamous)","LC"
"53","Nothura minor","Lesser Nothura","Tinamidae (Tinamous)","VU"
"50","Nothura darwinii","Darwin's Nothura","Tinamidae (Tinamous)","LC"
