"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"31769","Struthio molybdophanes","Somali Ostrich","Struthionidae (Ostriches)","VU"
"2","Rhea americana","Greater Rhea","Rheidae (Rheas)","NT"
"1016842","Rhea pennata","Lesser Rhea","Rheidae (Rheas)","LC"
"1016844","Rhea tarapacensis","Puna Rhea","Rheidae (Rheas)","NT"
"11","Tinamus tao","Grey Tinamou","Tinamidae (Tinamous)","VU"
"12","Tinamus solitarius","Solitary Tinamou","Tinamidae (Tinamous)","NT"
"13","Tinamus osgoodi","Black Tinamou","Tinamidae (Tinamous)","VU"
"14","Tinamus major","Great Tinamou","Tinamidae (Tinamous)","NT"
"15","Tinamus guttatus","White-throated Tinamou","Tinamidae (Tinamous)","NT"
"33","Crypturellus duidae","Grey-legged Tinamou","Tinamidae (Tinamous)","LC"
"31001","Crypturellus erythropus","Red-legged Tinamou","Tinamidae (Tinamous)","LC"
"34","Crypturellus noctivagus","Yellow-legged Tinamou","Tinamidae (Tinamous)","NT"
"35","Crypturellus atrocapillus","Black-capped Tinamou","Tinamidae (Tinamous)","LC"
"26","Crypturellus transfasciatus","Pale-browed Tinamou","Tinamidae (Tinamous)","NT"
"29","Crypturellus kerriae","Choco Tinamou","Tinamidae (Tinamous)","VU"
"43","Nothoprocta taczanowskii","Taczanowski's Tinamou","Tinamidae (Tinamous)","VU"
"1099054","Nothura maculosa","Spotted Nothura","Tinamidae (Tinamous)","LC"
"4","Casuarius casuarius","Southern Cassowary","Casuariidae (Cassowaries, Emus)","LC"
"5","Casuarius bennetti","Dwarf Cassowary","Casuariidae (Cassowaries, Emus)","LC"
"6","Casuarius unappendiculatus","Northern Cassowary","Casuariidae (Cassowaries, Emus)","LC"
"30069","Dromaius minor","King Island Emu","Casuariidae (Cassowaries, Emus)","EX"
"9783","Dromaius baudinianus","Kangaroo Island Emu","Casuariidae (Cassowaries, Emus)","EX"
"112","Aepypodius bruijnii","Waigeo Brush-turkey","Megapodiidae (Megapodes)","EN"
"116","Macrocephalon maleo","Maleo","Megapodiidae (Megapodes)","EN"
"127","Eulipoa wallacei","Moluccan Scrubfowl","Megapodiidae (Megapodes)","VU"
"117","Megapodius nicobariensis","Nicobar Scrubfowl","Megapodiidae (Megapodes)","VU"
"119","Megapodius bernsteinii","Sula Scrubfowl","Megapodiidae (Megapodes)","VU"
"31680","Megapodius tenimberensis","Tanimbar Scrubfowl","Megapodiidae (Megapodes)","VU"
"124","Megapodius layardi","Vanuatu Scrubfowl","Megapodiidae (Megapodes)","VU"
"125","Megapodius laperouse","Micronesian Scrubfowl","Megapodiidae (Megapodes)","EN"
"126","Megapodius pritchardii","Tongan Scrubfowl","Megapodiidae (Megapodes)","VU"
"30043","Megapodius geelvinkianus","Biak Scrubfowl","Megapodiidae (Megapodes)","VU"
"92","Chamaepetes unicolor","Black Guan","Cracidae (Guans, Chachalacas, Curassows)","LC"
"94","Penelopina nigra","Highland Guan","Cracidae (Guans, Chachalacas, Curassows)","VU"
"73","Penelope barbata","Bearded Guan","Cracidae (Guans, Chachalacas, Curassows)","NT"
"74","Penelope ortoni","Baudo Guan","Cracidae (Guans, Chachalacas, Curassows)","EN"
"80","Penelope perspicax","Cauca Guan","Cracidae (Guans, Chachalacas, Curassows)","EN"
"81","Penelope albipennis","White-winged Guan","Cracidae (Guans, Chachalacas, Curassows)","EN"
"84","Penelope pileata","White-crested Guan","Cracidae (Guans, Chachalacas, Curassows)","VU"
"85","Penelope ochrogaster","Chestnut-bellied Guan","Cracidae (Guans, Chachalacas, Curassows)","VU"
"86","Penelope jacucaca","White-browed Guan","Cracidae (Guans, Chachalacas, Curassows)","VU"
"87","Pipile pipile","Trinidad Piping-guan","Cracidae (Guans, Chachalacas, Curassows)","CR"
"1016775","Pipile grayi","White-throated Piping-guan","Cracidae (Guans, Chachalacas, Curassows)","NT"
