"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"1016860","Struthio camelus","Common Ostrich","Struthionidae (Ostriches)","LC"
"31769","Struthio molybdophanes","Somali Ostrich","Struthionidae (Ostriches)","VU"
"2","Rhea americana","Greater Rhea","Rheidae (Rheas)","NT"
"1016842","Rhea pennata","Lesser Rhea","Rheidae (Rheas)","LC"
"1016844","Rhea tarapacensis","Puna Rhea","Rheidae (Rheas)","NT"
"17","Nothocercus julius","Tawny-breasted Tinamou","Tinamidae (Tinamous)","LC"
"16","Nothocercus bonapartei","Highland Tinamou","Tinamidae (Tinamous)","LC"
"18","Nothocercus nigrocapillus","Hooded Tinamou","Tinamidae (Tinamous)","LC"
"11","Tinamus tao","Grey Tinamou","Tinamidae (Tinamous)","VU"
"12","Tinamus solitarius","Solitary Tinamou","Tinamidae (Tinamous)","NT"
"13","Tinamus osgoodi","Black Tinamou","Tinamidae (Tinamous)","VU"
"14","Tinamus major","Great Tinamou","Tinamidae (Tinamous)","NT"
"15","Tinamus guttatus","White-throated Tinamou","Tinamidae (Tinamous)","NT"
"19","Crypturellus berlepschi","Berlepsch's Tinamou","Tinamidae (Tinamous)","LC"
"20","Crypturellus cinereus","Cinereous Tinamou","Tinamidae (Tinamous)","LC"
"22","Crypturellus ptaritepui","Tepui Tinamou","Tinamidae (Tinamous)","LC"
"21","Crypturellus soui","Little Tinamou","Tinamidae (Tinamous)","LC"
"23","Crypturellus obsoletus","Brown Tinamou","Tinamidae (Tinamous)","LC"
"25","Crypturellus undulatus","Undulated Tinamou","Tinamidae (Tinamous)","LC"
"27","Crypturellus strigulosus","Brazilian Tinamou","Tinamidae (Tinamous)","LC"
"33","Crypturellus duidae","Grey-legged Tinamou","Tinamidae (Tinamous)","LC"
"31001","Crypturellus erythropus","Red-legged Tinamou","Tinamidae (Tinamous)","LC"
"34","Crypturellus noctivagus","Yellow-legged Tinamou","Tinamidae (Tinamous)","NT"
"35","Crypturellus atrocapillus","Black-capped Tinamou","Tinamidae (Tinamous)","LC"
"1016978","Crypturellus occidentalis","Western Thicket Tinamou","Tinamidae (Tinamous)","LC"
"1016977","Crypturellus cinnamomeus","Eastern Thicket Tinamou","Tinamidae (Tinamous)","LC"
