"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"125","Megapodius laperouse","Micronesian Scrubfowl","Megapodiidae (Megapodes)","EN"
"126","Megapodius pritchardii","Tongan Scrubfowl","Megapodiidae (Megapodes)","VU"
"185","Pternistis camerunensis","Mount Cameroon Francolin","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","EN"
"269","Syrmaticus mikado","Mikado Pheasant","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"3634","Podilymbus gigas","Atitlan Grebe","Podicipedidae (Grebes)","EX"
"3645","Podiceps gallardoi","Hooded Grebe","Podicipedidae (Grebes)","CR"
"2617","Alopecoenas sanctaecrucis","Santa Cruz Ground-dove","Columbidae (Pigeons, Doves)","EN"
"1719","Aerodramus vulcanorum","Volcano Swiftlet","Apodidae (Swifts)","NT"
"2021","Sephanoides fernandensis","Juan Fernandez Firecrown","Trochilidae (Hummingbirds)","CR"
"2033","Eriocnemis nigrivestis","Black-breasted Puffleg","Trochilidae (Hummingbirds)","EN"
"3852","Pygoscelis antarcticus","Chinstrap Penguin","Spheniscidae (Penguins)","LC"
"3971","Phoebetria palpebrata","Light-mantled Albatross","Diomedeidae (Albatrosses)","NT"
"3957","Phoebastria nigripes","Black-footed Albatross","Diomedeidae (Albatrosses)","NT"
"3956","Phoebastria albatrus","Short-tailed Albatross","Diomedeidae (Albatrosses)","VU"
"3959","Thalassarche melanophris","Black-browed Albatross","Diomedeidae (Albatrosses)","LC"
"3870","Macronectes giganteus","Southern Giant Petrel","Procellariidae (Petrels, Shearwaters)","LC"
"3883","Pterodroma nigripennis","Black-winged Petrel","Procellariidae (Petrels, Shearwaters)","LC"
"3924","Procellaria westlandica","Westland Petrel","Procellariidae (Petrels, Shearwaters)","EN"
"3938","Puffinus auricularis","Townsend's Shearwater","Procellariidae (Petrels, Shearwaters)","CR"
"3746","Gorsachius goisagi","Japanese Night-heron","Ardeidae (Herons)","VU"
"3671","Nannopterum harrisi","Flightless Cormorant","Phalacrocoracidae (Cormorants)","VU"
"30029","Otus alius","Nicobar Scops-owl","Strigidae (Typical Owls)","NT"
"2228","Bubo philippensis","Philippine Eagle-owl","Strigidae (Typical Owls)","VU"
"3426","Accipiter butleri","Nicobar Sparrowhawk","Accipitridae (Hawks, Eagles)","VU"
"707","Dryocopus hodgei","Andaman Woodpecker","Picidae (Woodpeckers)","VU"
"1689","Amazona guildingii","St Vincent Amazon","Psittacidae (Parrots)","VU"
"1521","Loriculus catamene","Sangihe Hanging-parrot","Psittacidae (Parrots)","NT"
"1541","Psittacula caniceps","Nicobar Parakeet","Psittacidae (Parrots)","NT"
"9822","Cranioleuca henricae","Bolivian Spinetail","Furnariidae (Ovenbirds)","VU"
"4454","Pachyramphus spodiurus","Slaty Becard","Tityridae (Tityras and allies)","VU"
"1017706","Sittiparus owstoni","Izu Tit","Paridae (Tits and chickadees)","EN"
"1017861","Acrocephalus luscinius","Guam Reed-warbler","Acrocephalidae (Reed-warblers)","EX"
"1017865","Acrocephalus hiwae","Saipan Reed-warbler","Acrocephalidae (Reed-warblers)","CR"
"1017863","Acrocephalus nijoi","Aguijan Reed-warbler","Acrocephalidae (Reed-warblers)","EX"
"1017862","Acrocephalus yamashinae","Pagan Reed-warbler","Acrocephalidae (Reed-warblers)","EX"
"7592","Locustella pleskei","Pleske's Grasshopper-warbler","Locustellidae (Grasshopper-warblers and grassbirds)","VU"
"7740","Phylloscopus amoenus","Kolombangara Leaf-warbler","Phylloscopidae (Leaf-warblers)","VU"
"7515","Cleptornis marchei","Golden White-eye","Zosteropidae (White-eyes)","EN"
"7446","Zosterops mouroniensis","Mount Karthala White-eye","Zosteropidae (White-eyes)","VU"
"7433","Zosterops melanocephalus","Mount Cameroon Speirops","Zosteropidae (White-eyes)","VU"
"6343","Turdus lherminieri","Forest Thrush","Turdidae (Thrushes)","NT"
"6402","Turdus celaenops","Izu Thrush","Turdidae (Thrushes)","VU"
"1017754","Larvivora tanensis","Izu Robin","Muscicapidae (Chats and Old World flycatchers)","VU"
"6529","Ficedula henrici","Damar Flycatcher","Muscicapidae (Chats and Old World flycatchers)","NT"
"8899","Psittirostra psittacea","Ou","Fringillidae (Finches and Hawaiian honeycreepers)","CR(PE)"
"9698","Icterus oberi","Montserrat Oriole","Icteridae (New World blackbirds)","VU"
"9124","Catharopeza bishopi","Whistling Warbler","Parulidae (New World warblers)","EN"
"9155","Cardellina versicolor","Pink-headed Warbler","Parulidae (New World warblers)","LC"
