Table 1
,,,,,,
,Scientific name,English name,Family,Global IUCN Red List Category,,
,Nothura minor,Lesser Nothura,Tinamidae (Tinamous),VU,,
,Taoniscus nanus,Dwarf Tinamou,Tinamidae (Tinamous),EN,,
,Casuarius casuarius,Southern Cassowary,"Casuariidae (Cassowaries, Emus)",LC,,
,Casuarius bennetti,Dwarf Cassowary,"Casuariidae (Cassowaries, Emus)",LC,,
,Apteryx haastii,Great Spotted Kiwi,Apterygidae (Kiwis),VU,,
,Apteryx owenii,Little Spotted Kiwi,Apterygidae (Kiwis),NT,,
,Apteryx mantelli,North Island Brown Kiwi,Apterygidae (Kiwis),VU,,
,Apteryx australis,Southern Brown Kiwi,Apterygidae (Kiwis),VU,,
,Apteryx rowi,Okarito Kiwi,Apterygidae (Kiwis),VU,,
,Aepypodius bruijnii,Waigeo Brush-turkey,Megapodiidae (Megapodes),EN,,
,Leipoa ocellata,Malleefowl,Megapodiidae (Megapodes),VU,,
,Eulipoa wallacei,Moluccan Scrubfowl,Megapodiidae (Megapodes),VU,,
,Megapodius nicobariensis,Nicobar Scrubfowl,Megapodiidae (Megapodes),VU,,
,Megapodius bernsteinii,Sula Scrubfowl,Megapodiidae (Megapodes),VU,,
,Megapodius tenimberensis,Tanimbar Scrubfowl,Megapodiidae (Megapodes),VU,,
,Megapodius laperouse,Micronesian Scrubfowl,Megapodiidae (Megapodes),EN,,
,Megapodius pritchardii,Tongan Scrubfowl,Megapodiidae (Megapodes),VU,,
,Megapodius geelvinkianus,Biak Scrubfowl,Megapodiidae (Megapodes),VU,,
,Oreophasis derbianus,Horned Guan,"Cracidae (Guans, Chachalacas, Curassows)",EN,,
,Crax rubra,Great Curassow,"Cracidae (Guans, Chachalacas, Curassows)",VU,,
,Agelastes meleagrides,White-breasted Guineafowl,Numididae (Guineafowl),VU,,
,Ptilopachus nahani,Nahan's Partridge,Odontophoridae (New World quails),VU,,
,Odontophorus hyperythrus,Chestnut Wood-quail,Odontophoridae (New World quails),LC,,
,Odontophorus strophium,Gorgeted Wood-quail,Odontophoridae (New World quails),VU,,
,Xenoperdix udzungwensis,Udzungwa Forest-partridge,"Phasianidae (Pheasants, Partridges, Turkeys, Grouse)",EN,,
,Coturnix novaezelandiae,New Zealand Quail,"Phasianidae (Pheasants, Partridges, Turkeys, Grouse)",EX,,
,Alectoris graeca,Rock Partridge,"Phasianidae (Pheasants, Partridges, Turkeys, Grouse)",NT,,
,Alectoris rufa,Red-legged Partridge,"Phasianidae (Pheasants, Partridges, Turkeys, Grouse)",NT,,
,Gallus gallus,Red Junglefowl,"Phasianidae (Pheasants, Partridges, Turkeys, Grouse)",LC,,
,Tragopan caboti,Cabot's Tragopan,"Phasianidae (Pheasants, Partridges, Turkeys, Grouse)",VU,,
,Syrmaticus mikado,Mikado Pheasant,"Phasianidae (Pheasants, Partridges, Turkeys, Grouse)",NT,,
,Syrmaticus soemmerringii,Copper Pheasant,"Phasianidae (Pheasants, Partridges, Turkeys, Grouse)",NT,,
